index,sign,astrology_sign,importance
25497,gemini,gemini,no importance
25498,aries but it doesn't matter,aries,no importance
25499,Unknown,Unknown,Unknown
25500,cancer and it's fun to think about,cancer,fun
25501,taurus and it's fun to think about,taurus,fun
25502,leo and it's fun to think about,leo,fun
25503,libra,libra,no importance
25504,scorpio but it doesn't matter,scorpio,no importance
25505,Unknown,Unknown,Unknown
25506,leo,leo,no importance
25507,libra and it's fun to think about,libra,fun
25508,scorpio and it's fun to think about,scorpio,fun
25509,cancer and it's fun to think about,cancer,fun
25510,gemini and it's fun to think about,gemini,fun
25511,pisces,pisces,no importance
25512,aries,aries,no importance
25513,Unknown,Unknown,Unknown
25514,sagittarius and it's fun to think about,sagittarius,fun
25515,taurus,taurus,no importance
25516,pisces,pisces,no importance
25517,aquarius and it's fun to think about,aquarius,fun
25518,virgo but it doesn't matter,virgo,no importance
25519,sagittarius and it's fun to think about,sagittarius,fun
25520,libra and it's fun to think about,libra,fun
25521,taurus but it doesn't matter,taurus,no importance
25522,taurus,taurus,no importance
25523,Unknown,Unknown,Unknown
25524,sagittarius but it doesn't matter,sagittarius,no importance
25525,sagittarius,sagittarius,no importance
25526,capricorn and it matters a lot,capricorn,importance
25527,libra but it doesn't matter,libra,no importance
25528,virgo and it's fun to think about,virgo,fun
25529,gemini,gemini,no importance
25530,libra and it's fun to think about,libra,fun
25531,leo and it's fun to think about,leo,fun
25532,Unknown,Unknown,Unknown
25533,capricorn and it's fun to think about,capricorn,fun
25534,capricorn,capricorn,no importance
25535,virgo but it doesn't matter,virgo,no importance
25536,Unknown,Unknown,Unknown
25537,Unknown,Unknown,Unknown
25538,libra but it doesn't matter,libra,no importance
25539,gemini and it's fun to think about,gemini,fun
25540,libra,libra,no importance
25541,scorpio and it's fun to think about,scorpio,fun
25542,gemini but it doesn't matter,gemini,no importance
25543,Unknown,Unknown,Unknown
25544,Unknown,Unknown,Unknown
25545,aquarius but it doesn't matter,aquarius,no importance
25546,leo and it's fun to think about,leo,fun
25547,capricorn and it's fun to think about,capricorn,fun
25548,scorpio but it doesn't matter,scorpio,no importance
25549,aries and it's fun to think about,aries,fun
25550,libra,libra,no importance
25551,Unknown,Unknown,Unknown
25552,libra and it matters a lot,libra,importance
25553,cancer and it's fun to think about,cancer,fun
25554,Unknown,Unknown,Unknown
25555,libra and it's fun to think about,libra,fun
25556,aries,aries,no importance
25557,leo but it doesn't matter,leo,no importance
25558,sagittarius,sagittarius,no importance
25559,aries,aries,no importance
25560,libra but it doesn't matter,libra,no importance
25561,leo,leo,no importance
25562,taurus and it's fun to think about,taurus,fun
25563,taurus and it's fun to think about,taurus,fun
25564,libra and it's fun to think about,libra,fun
25565,taurus and it's fun to think about,taurus,fun
25566,sagittarius but it doesn't matter,sagittarius,no importance
25567,Unknown,Unknown,Unknown
25568,libra and it's fun to think about,libra,fun
25569,capricorn and it's fun to think about,capricorn,fun
25570,capricorn and it's fun to think about,capricorn,fun
25571,Unknown,Unknown,Unknown
25572,capricorn,capricorn,no importance
25573,cancer and it's fun to think about,cancer,fun
25574,libra but it doesn't matter,libra,no importance
25575,gemini and it's fun to think about,gemini,fun
25576,Unknown,Unknown,Unknown
25577,taurus and it's fun to think about,taurus,fun
25578,taurus and it matters a lot,taurus,importance
25579,capricorn but it doesn't matter,capricorn,no importance
25580,pisces and it's fun to think about,pisces,fun
25581,gemini,gemini,no importance
25582,sagittarius and it's fun to think about,sagittarius,fun
25583,capricorn but it doesn't matter,capricorn,no importance
25584,libra and it's fun to think about,libra,fun
25585,scorpio,scorpio,no importance
25586,virgo but it doesn't matter,virgo,no importance
25587,libra and it's fun to think about,libra,fun
25588,Unknown,Unknown,Unknown
25589,leo,leo,no importance
25590,pisces and it's fun to think about,pisces,fun
25591,pisces and it's fun to think about,pisces,fun
25592,libra but it doesn't matter,libra,no importance
25593,aries and it's fun to think about,aries,fun
25594,leo,leo,no importance
25595,Unknown,Unknown,Unknown
25596,scorpio,scorpio,no importance
25597,sagittarius,sagittarius,no importance
25598,pisces,pisces,no importance
25599,cancer but it doesn't matter,cancer,no importance
25600,Unknown,Unknown,Unknown
25601,leo and it's fun to think about,leo,fun
25602,Unknown,Unknown,Unknown
25603,pisces and it's fun to think about,pisces,fun
25604,leo and it's fun to think about,leo,fun
25605,aries,aries,no importance
25606,cancer but it doesn't matter,cancer,no importance
25607,sagittarius,sagittarius,no importance
25608,virgo and it's fun to think about,virgo,fun
25609,scorpio but it doesn't matter,scorpio,no importance
25610,libra,libra,no importance
25611,leo and it's fun to think about,leo,fun
25612,libra and it's fun to think about,libra,fun
25613,leo and it's fun to think about,leo,fun
25614,leo but it doesn't matter,leo,no importance
25615,sagittarius and it's fun to think about,sagittarius,fun
25616,leo and it's fun to think about,leo,fun
25617,gemini and it's fun to think about,gemini,fun
25618,Unknown,Unknown,Unknown
25619,scorpio and it's fun to think about,scorpio,fun
25620,libra and it's fun to think about,libra,fun
25621,cancer but it doesn't matter,cancer,no importance
25622,cancer,cancer,no importance
25623,pisces and it's fun to think about,pisces,fun
25624,scorpio but it doesn't matter,scorpio,no importance
25625,taurus and it's fun to think about,taurus,fun
25626,leo and it's fun to think about,leo,fun
25627,virgo but it doesn't matter,virgo,no importance
25628,libra,libra,no importance
25629,Unknown,Unknown,Unknown
25630,gemini and it's fun to think about,gemini,fun
25631,sagittarius,sagittarius,no importance
25632,capricorn and it's fun to think about,capricorn,fun
25633,gemini,gemini,no importance
25634,scorpio but it doesn't matter,scorpio,no importance
25635,taurus but it doesn't matter,taurus,no importance
25636,scorpio and it's fun to think about,scorpio,fun
25637,aquarius and it's fun to think about,aquarius,fun
25638,virgo and it's fun to think about,virgo,fun
25639,leo,leo,no importance
25640,virgo but it doesn't matter,virgo,no importance
25641,Unknown,Unknown,Unknown
25642,cancer,cancer,no importance
25643,leo but it doesn't matter,leo,no importance
25644,Unknown,Unknown,Unknown
25645,pisces but it doesn't matter,pisces,no importance
25646,gemini and it's fun to think about,gemini,fun
25647,capricorn and it's fun to think about,capricorn,fun
25648,Unknown,Unknown,Unknown
25649,aquarius but it doesn't matter,aquarius,no importance
25650,taurus,taurus,no importance
25651,cancer,cancer,no importance
25652,leo and it's fun to think about,leo,fun
25653,pisces,pisces,no importance
25654,gemini but it doesn't matter,gemini,no importance
25655,capricorn,capricorn,no importance
25656,cancer,cancer,no importance
25657,Unknown,Unknown,Unknown
25658,sagittarius and it's fun to think about,sagittarius,fun
25659,Unknown,Unknown,Unknown
25660,sagittarius,sagittarius,no importance
25661,leo and it's fun to think about,leo,fun
25662,pisces and it's fun to think about,pisces,fun
25663,aquarius and it's fun to think about,aquarius,fun
25664,aquarius and it's fun to think about,aquarius,fun
25665,sagittarius but it doesn't matter,sagittarius,no importance
25666,pisces but it doesn't matter,pisces,no importance
25667,virgo and it's fun to think about,virgo,fun
25668,gemini but it doesn't matter,gemini,no importance
25669,capricorn and it's fun to think about,capricorn,fun
25670,aries but it doesn't matter,aries,no importance
25671,Unknown,Unknown,Unknown
25672,taurus and it's fun to think about,taurus,fun
25673,taurus but it doesn't matter,taurus,no importance
25674,Unknown,Unknown,Unknown
25675,scorpio,scorpio,no importance
25676,scorpio and it's fun to think about,scorpio,fun
25677,Unknown,Unknown,Unknown
25678,pisces,pisces,no importance
25679,taurus and it's fun to think about,taurus,fun
25680,Unknown,Unknown,Unknown
25681,gemini and it's fun to think about,gemini,fun
25682,virgo but it doesn't matter,virgo,no importance
25683,cancer,cancer,no importance
25684,Unknown,Unknown,Unknown
25685,Unknown,Unknown,Unknown
25686,capricorn and it's fun to think about,capricorn,fun
25687,Unknown,Unknown,Unknown
25688,Unknown,Unknown,Unknown
25689,taurus but it doesn't matter,taurus,no importance
25690,pisces and it's fun to think about,pisces,fun
25691,pisces but it doesn't matter,pisces,no importance
25692,aquarius and it's fun to think about,aquarius,fun
25693,libra and it's fun to think about,libra,fun
25694,Unknown,Unknown,Unknown
25695,virgo but it doesn't matter,virgo,no importance
25696,aries,aries,no importance
25697,taurus and it's fun to think about,taurus,fun
25698,taurus and it's fun to think about,taurus,fun
25699,cancer and it's fun to think about,cancer,fun
25700,virgo but it doesn't matter,virgo,no importance
25701,scorpio and it's fun to think about,scorpio,fun
25702,aries but it doesn't matter,aries,no importance
25703,sagittarius but it doesn't matter,sagittarius,no importance
25704,aries,aries,no importance
25705,Unknown,Unknown,Unknown
25706,scorpio,scorpio,no importance
25707,Unknown,Unknown,Unknown
25708,virgo and it's fun to think about,virgo,fun
25709,virgo and it's fun to think about,virgo,fun
25710,aquarius and it's fun to think about,aquarius,fun
25711,Unknown,Unknown,Unknown
25712,pisces and it's fun to think about,pisces,fun
25713,sagittarius,sagittarius,no importance
25714,cancer,cancer,no importance
25715,virgo and it's fun to think about,virgo,fun
25716,sagittarius,sagittarius,no importance
25717,sagittarius and it's fun to think about,sagittarius,fun
25718,scorpio and it's fun to think about,scorpio,fun
25719,libra,libra,no importance
25720,Unknown,Unknown,Unknown
25721,gemini and it's fun to think about,gemini,fun
25722,aquarius,aquarius,no importance
25723,sagittarius,sagittarius,no importance
25724,aries and it's fun to think about,aries,fun
25725,cancer and it's fun to think about,cancer,fun
25726,taurus,taurus,no importance
25727,libra,libra,no importance
25728,gemini and it matters a lot,gemini,importance
25729,aquarius but it doesn't matter,aquarius,no importance
25730,aquarius,aquarius,no importance
25731,leo and it's fun to think about,leo,fun
25732,aquarius but it doesn't matter,aquarius,no importance
25733,pisces but it doesn't matter,pisces,no importance
25734,pisces and it's fun to think about,pisces,fun
25735,leo but it doesn't matter,leo,no importance
25736,virgo and it's fun to think about,virgo,fun
25737,gemini and it's fun to think about,gemini,fun
25738,virgo and it's fun to think about,virgo,fun
25739,aquarius and it's fun to think about,aquarius,fun
25740,capricorn,capricorn,no importance
25741,Unknown,Unknown,Unknown
25742,sagittarius but it doesn't matter,sagittarius,no importance
25743,sagittarius and it's fun to think about,sagittarius,fun
25744,leo and it's fun to think about,leo,fun
25745,cancer and it's fun to think about,cancer,fun
25746,taurus,taurus,no importance
25747,pisces but it doesn't matter,pisces,no importance
25748,aquarius,aquarius,no importance
25749,pisces and it's fun to think about,pisces,fun
25750,aquarius and it's fun to think about,aquarius,fun
25751,Unknown,Unknown,Unknown
25752,sagittarius and it's fun to think about,sagittarius,fun
25753,virgo and it's fun to think about,virgo,fun
25754,aries,aries,no importance
25755,leo but it doesn't matter,leo,no importance
25756,taurus and it's fun to think about,taurus,fun
25757,scorpio,scorpio,no importance
25758,aries but it doesn't matter,aries,no importance
25759,pisces and it's fun to think about,pisces,fun
25760,sagittarius and it's fun to think about,sagittarius,fun
25761,taurus and it's fun to think about,taurus,fun
25762,gemini but it doesn't matter,gemini,no importance
25763,scorpio but it doesn't matter,scorpio,no importance
25764,Unknown,Unknown,Unknown
25765,Unknown,Unknown,Unknown
25766,capricorn and it's fun to think about,capricorn,fun
25767,cancer,cancer,no importance
25768,Unknown,Unknown,Unknown
25769,taurus but it doesn't matter,taurus,no importance
25770,pisces,pisces,no importance
25771,gemini,gemini,no importance
25772,leo,leo,no importance
25773,cancer but it doesn't matter,cancer,no importance
25774,sagittarius but it doesn't matter,sagittarius,no importance
25775,libra and it's fun to think about,libra,fun
25776,sagittarius,sagittarius,no importance
25777,gemini and it's fun to think about,gemini,fun
25778,scorpio,scorpio,no importance
25779,virgo but it doesn't matter,virgo,no importance
25780,taurus and it matters a lot,taurus,importance
25781,virgo and it's fun to think about,virgo,fun
25782,leo and it's fun to think about,leo,fun
25783,libra and it's fun to think about,libra,fun
25784,Unknown,Unknown,Unknown
25785,cancer and it's fun to think about,cancer,fun
25786,taurus and it's fun to think about,taurus,fun
25787,Unknown,Unknown,Unknown
25788,cancer,cancer,no importance
25789,leo but it doesn't matter,leo,no importance
25790,taurus and it's fun to think about,taurus,fun
25791,Unknown,Unknown,Unknown
25792,Unknown,Unknown,Unknown
25793,sagittarius and it's fun to think about,sagittarius,fun
25794,virgo and it's fun to think about,virgo,fun
25795,Unknown,Unknown,Unknown
25796,leo but it doesn't matter,leo,no importance
25797,libra and it's fun to think about,libra,fun
25798,Unknown,Unknown,Unknown
25799,taurus and it's fun to think about,taurus,fun
25800,Unknown,Unknown,Unknown
25801,taurus and it's fun to think about,taurus,fun
25802,scorpio but it doesn't matter,scorpio,no importance
25803,scorpio and it's fun to think about,scorpio,fun
25804,Unknown,Unknown,Unknown
25805,leo,leo,no importance
25806,aquarius and it's fun to think about,aquarius,fun
25807,aquarius and it's fun to think about,aquarius,fun
25808,Unknown,Unknown,Unknown
25809,sagittarius and it's fun to think about,sagittarius,fun
25810,sagittarius and it's fun to think about,sagittarius,fun
25811,aries and it's fun to think about,aries,fun
25812,Unknown,Unknown,Unknown
25813,gemini but it doesn't matter,gemini,no importance
25814,sagittarius and it's fun to think about,sagittarius,fun
25815,cancer but it doesn't matter,cancer,no importance
25816,aquarius and it's fun to think about,aquarius,fun
25817,Unknown,Unknown,Unknown
25818,cancer and it's fun to think about,cancer,fun
25819,aquarius,aquarius,no importance
25820,virgo,virgo,no importance
25821,Unknown,Unknown,Unknown
25822,leo but it doesn't matter,leo,no importance
25823,gemini and it's fun to think about,gemini,fun
25824,aries and it's fun to think about,aries,fun
25825,aquarius but it doesn't matter,aquarius,no importance
25826,aquarius,aquarius,no importance
25827,leo and it's fun to think about,leo,fun
25828,sagittarius and it matters a lot,sagittarius,importance
25829,pisces and it's fun to think about,pisces,fun
25830,pisces but it doesn't matter,pisces,no importance
25831,sagittarius,sagittarius,no importance
25832,pisces,pisces,no importance
25833,aries and it's fun to think about,aries,fun
25834,capricorn and it's fun to think about,capricorn,fun
25835,libra and it's fun to think about,libra,fun
25836,pisces but it doesn't matter,pisces,no importance
25837,gemini but it doesn't matter,gemini,no importance
25838,leo and it's fun to think about,leo,fun
25839,libra and it's fun to think about,libra,fun
25840,gemini and it's fun to think about,gemini,fun
25841,pisces,pisces,no importance
25842,gemini and it's fun to think about,gemini,fun
25843,aries and it's fun to think about,aries,fun
25844,scorpio and it's fun to think about,scorpio,fun
25845,pisces and it's fun to think about,pisces,fun
25846,Unknown,Unknown,Unknown
25847,Unknown,Unknown,Unknown
25848,cancer but it doesn't matter,cancer,no importance
25849,sagittarius and it's fun to think about,sagittarius,fun
25850,leo and it's fun to think about,leo,fun
25851,capricorn,capricorn,no importance
25852,pisces and it's fun to think about,pisces,fun
25853,libra but it doesn't matter,libra,no importance
25854,aquarius and it's fun to think about,aquarius,fun
25855,cancer and it's fun to think about,cancer,fun
25856,Unknown,Unknown,Unknown
25857,virgo but it doesn't matter,virgo,no importance
25858,aquarius,aquarius,no importance
25859,libra but it doesn't matter,libra,no importance
25860,gemini but it doesn't matter,gemini,no importance
25861,capricorn but it doesn't matter,capricorn,no importance
25862,taurus,taurus,no importance
25863,pisces and it's fun to think about,pisces,fun
25864,Unknown,Unknown,Unknown
25865,Unknown,Unknown,Unknown
25866,leo but it doesn't matter,leo,no importance
25867,taurus,taurus,no importance
25868,capricorn but it doesn't matter,capricorn,no importance
25869,sagittarius and it's fun to think about,sagittarius,fun
25870,aries and it's fun to think about,aries,fun
25871,sagittarius,sagittarius,no importance
25872,Unknown,Unknown,Unknown
25873,Unknown,Unknown,Unknown
25874,taurus and it's fun to think about,taurus,fun
25875,virgo,virgo,no importance
25876,aquarius but it doesn't matter,aquarius,no importance
25877,taurus,taurus,no importance
25878,sagittarius and it's fun to think about,sagittarius,fun
25879,Unknown,Unknown,Unknown
25880,aries but it doesn't matter,aries,no importance
25881,virgo,virgo,no importance
25882,libra but it doesn't matter,libra,no importance
25883,Unknown,Unknown,Unknown
25884,capricorn,capricorn,no importance
25885,libra and it's fun to think about,libra,fun
25886,libra and it's fun to think about,libra,fun
25887,libra and it's fun to think about,libra,fun
25888,Unknown,Unknown,Unknown
25889,Unknown,Unknown,Unknown
25890,scorpio and it's fun to think about,scorpio,fun
25891,pisces but it doesn't matter,pisces,no importance
25892,taurus and it's fun to think about,taurus,fun
25893,aries but it doesn't matter,aries,no importance
25894,cancer,cancer,no importance
25895,taurus and it's fun to think about,taurus,fun
25896,pisces and it matters a lot,pisces,importance
25897,scorpio and it's fun to think about,scorpio,fun
25898,Unknown,Unknown,Unknown
25899,capricorn but it doesn't matter,capricorn,no importance
25900,Unknown,Unknown,Unknown
25901,virgo,virgo,no importance
25902,taurus and it's fun to think about,taurus,fun
25903,Unknown,Unknown,Unknown
25904,Unknown,Unknown,Unknown
25905,taurus,taurus,no importance
25906,libra and it's fun to think about,libra,fun
25907,taurus,taurus,no importance
25908,pisces but it doesn't matter,pisces,no importance
25909,leo and it's fun to think about,leo,fun
25910,gemini and it's fun to think about,gemini,fun
25911,aries,aries,no importance
25912,libra but it doesn't matter,libra,no importance
25913,gemini and it's fun to think about,gemini,fun
25914,leo and it's fun to think about,leo,fun
25915,Unknown,Unknown,Unknown
25916,libra and it's fun to think about,libra,fun
25917,gemini,gemini,no importance
25918,aquarius and it's fun to think about,aquarius,fun
25919,Unknown,Unknown,Unknown
25920,capricorn but it doesn't matter,capricorn,no importance
25921,Unknown,Unknown,Unknown
25922,sagittarius but it doesn't matter,sagittarius,no importance
25923,pisces and it's fun to think about,pisces,fun
25924,virgo but it doesn't matter,virgo,no importance
25925,cancer and it's fun to think about,cancer,fun
25926,leo but it doesn't matter,leo,no importance
25927,Unknown,Unknown,Unknown
25928,libra,libra,no importance
25929,Unknown,Unknown,Unknown
25930,scorpio and it's fun to think about,scorpio,fun
25931,Unknown,Unknown,Unknown
25932,libra,libra,no importance
25933,Unknown,Unknown,Unknown
25934,scorpio and it's fun to think about,scorpio,fun
25935,leo but it doesn't matter,leo,no importance
25936,capricorn but it doesn't matter,capricorn,no importance
25937,sagittarius but it doesn't matter,sagittarius,no importance
25938,Unknown,Unknown,Unknown
25939,scorpio,scorpio,no importance
25940,taurus and it's fun to think about,taurus,fun
25941,leo and it's fun to think about,leo,fun
25942,taurus and it's fun to think about,taurus,fun
25943,leo but it doesn't matter,leo,no importance
25944,scorpio,scorpio,no importance
25945,leo and it's fun to think about,leo,fun
25946,gemini but it doesn't matter,gemini,no importance
25947,gemini,gemini,no importance
25948,leo,leo,no importance
25949,pisces,pisces,no importance
25950,leo,leo,no importance
25951,libra and it's fun to think about,libra,fun
25952,leo,leo,no importance
25953,Unknown,Unknown,Unknown
25954,Unknown,Unknown,Unknown
25955,sagittarius but it doesn't matter,sagittarius,no importance
25956,leo but it doesn't matter,leo,no importance
25957,aries,aries,no importance
25958,aries and it's fun to think about,aries,fun
25959,libra but it doesn't matter,libra,no importance
25960,cancer but it doesn't matter,cancer,no importance
25961,leo and it's fun to think about,leo,fun
25962,Unknown,Unknown,Unknown
25963,Unknown,Unknown,Unknown
25964,Unknown,Unknown,Unknown
25965,Unknown,Unknown,Unknown
25966,leo and it's fun to think about,leo,fun
25967,cancer but it doesn't matter,cancer,no importance
25968,sagittarius but it doesn't matter,sagittarius,no importance
25969,leo but it doesn't matter,leo,no importance
25970,virgo but it doesn't matter,virgo,no importance
25971,taurus but it doesn't matter,taurus,no importance
25972,cancer but it doesn't matter,cancer,no importance
25973,Unknown,Unknown,Unknown
25974,Unknown,Unknown,Unknown
25975,gemini and it's fun to think about,gemini,fun
25976,Unknown,Unknown,Unknown
25977,Unknown,Unknown,Unknown
25978,gemini but it doesn't matter,gemini,no importance
25979,virgo,virgo,no importance
25980,virgo and it's fun to think about,virgo,fun
25981,taurus but it doesn't matter,taurus,no importance
25982,aries and it's fun to think about,aries,fun
25983,taurus and it's fun to think about,taurus,fun
25984,scorpio and it's fun to think about,scorpio,fun
25985,aquarius but it doesn't matter,aquarius,no importance
25986,aries,aries,no importance
25987,Unknown,Unknown,Unknown
25988,Unknown,Unknown,Unknown
25989,leo,leo,no importance
25990,aquarius and it's fun to think about,aquarius,fun
25991,libra but it doesn't matter,libra,no importance
25992,Unknown,Unknown,Unknown
25993,sagittarius,sagittarius,no importance
25994,leo and it's fun to think about,leo,fun
25995,virgo but it doesn't matter,virgo,no importance
25996,cancer but it doesn't matter,cancer,no importance
25997,cancer but it doesn't matter,cancer,no importance
25998,capricorn and it's fun to think about,capricorn,fun
25999,pisces and it's fun to think about,pisces,fun
26000,pisces and it's fun to think about,pisces,fun
26001,Unknown,Unknown,Unknown
26002,Unknown,Unknown,Unknown
26003,leo and it's fun to think about,leo,fun
26004,virgo but it doesn't matter,virgo,no importance
26005,Unknown,Unknown,Unknown
26006,Unknown,Unknown,Unknown
26007,scorpio and it matters a lot,scorpio,importance
26008,scorpio,scorpio,no importance
26009,scorpio and it's fun to think about,scorpio,fun
26010,leo but it doesn't matter,leo,no importance
26011,Unknown,Unknown,Unknown
26012,capricorn and it's fun to think about,capricorn,fun
26013,leo but it doesn't matter,leo,no importance
26014,virgo,virgo,no importance
26015,capricorn but it doesn't matter,capricorn,no importance
26016,aquarius but it doesn't matter,aquarius,no importance
26017,taurus and it's fun to think about,taurus,fun
26018,cancer,cancer,no importance
26019,aries but it doesn't matter,aries,no importance
26020,scorpio and it's fun to think about,scorpio,fun
26021,Unknown,Unknown,Unknown
26022,taurus and it's fun to think about,taurus,fun
26023,leo and it's fun to think about,leo,fun
26024,pisces and it's fun to think about,pisces,fun
26025,gemini,gemini,no importance
26026,capricorn,capricorn,no importance
26027,Unknown,Unknown,Unknown
26028,aries and it's fun to think about,aries,fun
26029,capricorn,capricorn,no importance
26030,capricorn,capricorn,no importance
26031,virgo but it doesn't matter,virgo,no importance
26032,sagittarius and it's fun to think about,sagittarius,fun
26033,aries,aries,no importance
26034,Unknown,Unknown,Unknown
26035,gemini and it's fun to think about,gemini,fun
26036,gemini but it doesn't matter,gemini,no importance
26037,sagittarius,sagittarius,no importance
26038,leo and it's fun to think about,leo,fun
26039,Unknown,Unknown,Unknown
26040,sagittarius but it doesn't matter,sagittarius,no importance
26041,leo and it's fun to think about,leo,fun
26042,Unknown,Unknown,Unknown
26043,libra but it doesn't matter,libra,no importance
26044,virgo but it doesn't matter,virgo,no importance
26045,gemini and it matters a lot,gemini,importance
26046,gemini and it's fun to think about,gemini,fun
26047,scorpio but it doesn't matter,scorpio,no importance
26048,aries and it's fun to think about,aries,fun
26049,cancer and it's fun to think about,cancer,fun
26050,cancer and it's fun to think about,cancer,fun
26051,pisces and it's fun to think about,pisces,fun
26052,virgo and it's fun to think about,virgo,fun
26053,gemini and it matters a lot,gemini,importance
26054,taurus but it doesn't matter,taurus,no importance
26055,Unknown,Unknown,Unknown
26056,virgo and it's fun to think about,virgo,fun
26057,gemini but it doesn't matter,gemini,no importance
26058,aries but it doesn't matter,aries,no importance
26059,Unknown,Unknown,Unknown
26060,aquarius but it doesn't matter,aquarius,no importance
26061,cancer but it doesn't matter,cancer,no importance
26062,virgo,virgo,no importance
26063,gemini but it doesn't matter,gemini,no importance
26064,scorpio and it's fun to think about,scorpio,fun
26065,gemini but it doesn't matter,gemini,no importance
26066,taurus and it's fun to think about,taurus,fun
26067,aries and it's fun to think about,aries,fun
26068,gemini,gemini,no importance
26069,libra but it doesn't matter,libra,no importance
26070,aquarius but it doesn't matter,aquarius,no importance
26071,pisces,pisces,no importance
26072,libra but it doesn't matter,libra,no importance
26073,sagittarius but it doesn't matter,sagittarius,no importance
26074,Unknown,Unknown,Unknown
26075,virgo and it matters a lot,virgo,importance
26076,virgo but it doesn't matter,virgo,no importance
26077,aquarius and it's fun to think about,aquarius,fun
26078,scorpio,scorpio,no importance
26079,aries and it's fun to think about,aries,fun
26080,pisces but it doesn't matter,pisces,no importance
26081,pisces but it doesn't matter,pisces,no importance
26082,scorpio and it's fun to think about,scorpio,fun
26083,pisces but it doesn't matter,pisces,no importance
26084,sagittarius and it's fun to think about,sagittarius,fun
26085,libra and it's fun to think about,libra,fun
26086,sagittarius but it doesn't matter,sagittarius,no importance
26087,capricorn but it doesn't matter,capricorn,no importance
26088,capricorn but it doesn't matter,capricorn,no importance
26089,pisces,pisces,no importance
26090,leo and it's fun to think about,leo,fun
26091,Unknown,Unknown,Unknown
26092,libra,libra,no importance
26093,capricorn and it's fun to think about,capricorn,fun
26094,sagittarius but it doesn't matter,sagittarius,no importance
26095,sagittarius and it's fun to think about,sagittarius,fun
26096,capricorn but it doesn't matter,capricorn,no importance
26097,scorpio but it doesn't matter,scorpio,no importance
26098,sagittarius but it doesn't matter,sagittarius,no importance
26099,leo but it doesn't matter,leo,no importance
26100,gemini,gemini,no importance
26101,taurus but it doesn't matter,taurus,no importance
26102,taurus but it doesn't matter,taurus,no importance
26103,Unknown,Unknown,Unknown
26104,pisces but it doesn't matter,pisces,no importance
26105,gemini and it's fun to think about,gemini,fun
26106,Unknown,Unknown,Unknown
26107,Unknown,Unknown,Unknown
26108,taurus but it doesn't matter,taurus,no importance
26109,scorpio,scorpio,no importance
26110,Unknown,Unknown,Unknown
26111,cancer and it's fun to think about,cancer,fun
26112,pisces and it's fun to think about,pisces,fun
26113,Unknown,Unknown,Unknown
26114,taurus,taurus,no importance
26115,Unknown,Unknown,Unknown
26116,taurus and it's fun to think about,taurus,fun
26117,libra but it doesn't matter,libra,no importance
26118,capricorn and it's fun to think about,capricorn,fun
26119,pisces and it's fun to think about,pisces,fun
26120,Unknown,Unknown,Unknown
26121,taurus and it's fun to think about,taurus,fun
26122,Unknown,Unknown,Unknown
26123,leo and it's fun to think about,leo,fun
26124,gemini and it's fun to think about,gemini,fun
26125,cancer but it doesn't matter,cancer,no importance
26126,taurus and it's fun to think about,taurus,fun
26127,cancer and it's fun to think about,cancer,fun
26128,Unknown,Unknown,Unknown
26129,libra but it doesn't matter,libra,no importance
26130,libra but it doesn't matter,libra,no importance
26131,gemini and it's fun to think about,gemini,fun
26132,Unknown,Unknown,Unknown
26133,gemini but it doesn't matter,gemini,no importance
26134,sagittarius and it's fun to think about,sagittarius,fun
26135,scorpio and it's fun to think about,scorpio,fun
26136,scorpio but it doesn't matter,scorpio,no importance
26137,aquarius but it doesn't matter,aquarius,no importance
26138,gemini and it's fun to think about,gemini,fun
26139,aries and it's fun to think about,aries,fun
26140,cancer but it doesn't matter,cancer,no importance
26141,virgo,virgo,no importance
26142,libra but it doesn't matter,libra,no importance
26143,libra but it doesn't matter,libra,no importance
26144,taurus and it's fun to think about,taurus,fun
26145,leo but it doesn't matter,leo,no importance
26146,leo,leo,no importance
26147,Unknown,Unknown,Unknown
26148,leo and it's fun to think about,leo,fun
26149,taurus but it doesn't matter,taurus,no importance
26150,Unknown,Unknown,Unknown
26151,Unknown,Unknown,Unknown
26152,sagittarius and it's fun to think about,sagittarius,fun
26153,gemini and it's fun to think about,gemini,fun
26154,pisces but it doesn't matter,pisces,no importance
26155,Unknown,Unknown,Unknown
26156,cancer but it doesn't matter,cancer,no importance
26157,virgo and it's fun to think about,virgo,fun
26158,virgo but it doesn't matter,virgo,no importance
26159,capricorn,capricorn,no importance
26160,Unknown,Unknown,Unknown
26161,aquarius but it doesn't matter,aquarius,no importance
26162,sagittarius and it's fun to think about,sagittarius,fun
26163,scorpio and it's fun to think about,scorpio,fun
26164,aries but it doesn't matter,aries,no importance
26165,libra but it doesn't matter,libra,no importance
26166,taurus but it doesn't matter,taurus,no importance
26167,leo and it's fun to think about,leo,fun
26168,leo and it's fun to think about,leo,fun
26169,virgo but it doesn't matter,virgo,no importance
26170,gemini,gemini,no importance
26171,virgo,virgo,no importance
26172,taurus,taurus,no importance
26173,cancer and it matters a lot,cancer,importance
26174,cancer,cancer,no importance
26175,gemini and it's fun to think about,gemini,fun
26176,taurus but it doesn't matter,taurus,no importance
26177,gemini and it's fun to think about,gemini,fun
26178,leo,leo,no importance
26179,gemini and it's fun to think about,gemini,fun
26180,aries and it's fun to think about,aries,fun
26181,aries but it doesn't matter,aries,no importance
