index,pets,dogs,cats
21656,no importance,no importance,no importance
21657,likes dogs,like,no importance
21658,has cats,no importance,own
21659,likes dogs and has cats,like,own
21660,likes dogs,like,no importance
21661,no importance,no importance,no importance
21662,likes dogs,like,no importance
21663,likes dogs and dislikes cats,like,like
21664,has dogs,own,no importance
21665,likes dogs and likes cats,like,like
21666,no importance,no importance,no importance
21667,likes dogs and likes cats,like,like
21668,no importance,no importance,no importance
21669,no importance,no importance,no importance
21670,likes dogs and has cats,like,own
21671,has dogs,own,no importance
21672,likes dogs and likes cats,like,like
21673,has dogs and has cats,own,own
21674,likes dogs and likes cats,like,like
21675,likes cats,no importance,like
21676,likes dogs,like,no importance
21677,no importance,no importance,no importance
21678,no importance,no importance,no importance
21679,likes dogs and has cats,like,own
21680,likes dogs,like,no importance
21681,likes dogs and has cats,like,own
21682,no importance,no importance,no importance
21683,likes dogs and has cats,like,own
21684,likes dogs and likes cats,like,like
21685,likes dogs and likes cats,like,like
21686,likes dogs and likes cats,like,like
21687,likes dogs and dislikes cats,like,like
21688,no importance,no importance,no importance
21689,likes dogs,like,no importance
21690,no importance,no importance,no importance
21691,likes dogs,like,no importance
21692,likes cats,no importance,like
21693,likes dogs and likes cats,like,like
21694,no importance,no importance,no importance
21695,no importance,no importance,no importance
21696,likes dogs and likes cats,like,like
21697,likes dogs,like,no importance
21698,no importance,no importance,no importance
21699,likes dogs and has cats,like,own
21700,likes dogs and likes cats,like,like
21701,has cats,no importance,own
21702,likes dogs and dislikes cats,like,like
21703,likes dogs and likes cats,like,like
21704,no importance,no importance,no importance
21705,no importance,no importance,no importance
21706,no importance,no importance,no importance
21707,no importance,no importance,no importance
21708,likes dogs and has cats,like,own
21709,likes dogs and likes cats,like,like
21710,no importance,no importance,no importance
21711,has dogs and has cats,own,own
21712,likes dogs and likes cats,like,like
21713,no importance,no importance,no importance
21714,likes cats,no importance,like
21715,no importance,no importance,no importance
21716,likes dogs and has cats,like,own
21717,likes dogs and has cats,like,own
21718,has dogs and likes cats,own,like
21719,likes dogs and has cats,like,own
21720,no importance,no importance,no importance
21721,likes dogs and likes cats,like,like
21722,no importance,no importance,no importance
21723,likes dogs and likes cats,like,like
21724,likes dogs and likes cats,like,like
21725,no importance,no importance,no importance
21726,likes dogs and dislikes cats,like,like
21727,no importance,no importance,no importance
21728,likes dogs,like,no importance
21729,no importance,no importance,no importance
21730,likes dogs and dislikes cats,like,like
21731,likes dogs and likes cats,like,like
21732,likes dogs and has cats,like,own
21733,likes dogs and likes cats,like,like
21734,likes dogs and has cats,like,own
21735,likes dogs,like,no importance
21736,likes dogs,like,no importance
21737,no importance,no importance,no importance
21738,likes dogs,like,no importance
21739,likes dogs,like,no importance
21740,likes dogs and likes cats,like,like
21741,has dogs,own,no importance
21742,has dogs and likes cats,own,like
21743,likes dogs,like,no importance
21744,no importance,no importance,no importance
21745,likes dogs,like,no importance
21746,no importance,no importance,no importance
21747,no importance,no importance,no importance
21748,dislikes dogs and dislikes cats,like,like
21749,likes dogs,like,no importance
21750,no importance,no importance,no importance
21751,likes dogs,like,no importance
21752,likes dogs and has cats,like,own
21753,has cats,no importance,own
21754,likes dogs and likes cats,like,like
21755,likes dogs,like,no importance
21756,no importance,no importance,no importance
21757,likes dogs and has cats,like,own
21758,has cats,no importance,own
21759,has dogs and has cats,own,own
21760,likes dogs and has cats,like,own
21761,likes cats,no importance,like
21762,has dogs,own,no importance
21763,no importance,no importance,no importance
21764,has dogs,own,no importance
21765,likes dogs and has cats,like,own
21766,no importance,no importance,no importance
21767,likes dogs and likes cats,like,like
21768,no importance,no importance,no importance
21769,likes dogs and likes cats,like,like
21770,no importance,no importance,no importance
21771,has dogs and has cats,own,own
21772,likes dogs and dislikes cats,like,like
21773,likes dogs and likes cats,like,like
21774,no importance,no importance,no importance
21775,no importance,no importance,no importance
21776,likes dogs and likes cats,like,like
21777,likes dogs and has cats,like,own
21778,no importance,no importance,no importance
21779,likes dogs and likes cats,like,like
21780,no importance,no importance,no importance
21781,likes dogs and likes cats,like,like
21782,likes dogs,like,no importance
21783,no importance,no importance,no importance
21784,no importance,no importance,no importance
21785,likes dogs and likes cats,like,like
21786,dislikes dogs and dislikes cats,like,like
21787,likes dogs and likes cats,like,like
21788,no importance,no importance,no importance
21789,likes dogs and has cats,like,own
21790,likes dogs and has cats,like,own
21791,no importance,no importance,no importance
21792,no importance,no importance,no importance
21793,no importance,no importance,no importance
21794,has dogs and dislikes cats,own,like
21795,no importance,no importance,no importance
21796,likes dogs and has cats,like,own
21797,likes dogs and likes cats,like,like
21798,likes dogs and likes cats,like,like
21799,likes dogs and dislikes cats,like,like
21800,likes dogs and likes cats,like,like
21801,likes dogs and has cats,like,own
21802,no importance,no importance,no importance
21803,dislikes dogs and dislikes cats,like,like
21804,likes dogs and likes cats,like,like
21805,likes dogs and likes cats,like,like
21806,has dogs and has cats,own,own
21807,has dogs,own,no importance
21808,likes dogs and has cats,like,own
21809,no importance,no importance,no importance
21810,likes dogs and likes cats,like,like
21811,likes dogs and has cats,like,own
21812,has dogs,own,no importance
21813,has dogs,own,no importance
21814,no importance,no importance,no importance
21815,likes dogs and has cats,like,own
21816,has dogs and likes cats,own,like
21817,has dogs and has cats,own,own
21818,likes dogs and likes cats,like,like
21819,no importance,no importance,no importance
21820,likes dogs and likes cats,like,like
21821,likes dogs,like,no importance
21822,likes dogs and likes cats,like,like
21823,likes dogs and has cats,like,own
21824,no importance,no importance,no importance
21825,no importance,no importance,no importance
21826,no importance,no importance,no importance
21827,likes dogs and likes cats,like,like
21828,has dogs and has cats,own,own
21829,likes dogs and likes cats,like,like
21830,likes dogs and has cats,like,own
21831,likes cats,no importance,like
21832,likes dogs and likes cats,like,like
21833,no importance,no importance,no importance
21834,likes dogs and likes cats,like,like
21835,likes dogs and likes cats,like,like
21836,likes dogs and likes cats,like,like
21837,has dogs,own,no importance
21838,likes dogs,like,no importance
21839,has cats,no importance,own
21840,no importance,no importance,no importance
21841,no importance,no importance,no importance
21842,likes dogs and likes cats,like,like
21843,has dogs and likes cats,own,like
21844,no importance,no importance,no importance
21845,likes dogs and has cats,like,own
21846,has dogs and has cats,own,own
21847,no importance,no importance,no importance
21848,likes dogs and likes cats,like,like
21849,no importance,no importance,no importance
21850,no importance,no importance,no importance
21851,has dogs and likes cats,own,like
21852,likes dogs,like,no importance
21853,has dogs and has cats,own,own
21854,likes dogs and likes cats,like,like
21855,has dogs,own,no importance
21856,no importance,no importance,no importance
21857,no importance,no importance,no importance
21858,no importance,no importance,no importance
21859,no importance,no importance,no importance
21860,no importance,no importance,no importance
21861,dislikes dogs and dislikes cats,like,like
21862,has dogs,own,no importance
21863,no importance,no importance,no importance
21864,has dogs and likes cats,own,like
21865,no importance,no importance,no importance
21866,no importance,no importance,no importance
21867,likes dogs,like,no importance
21868,likes dogs,like,no importance
21869,likes dogs and dislikes cats,like,like
21870,dislikes cats,no importance,like
21871,likes dogs and dislikes cats,like,like
21872,no importance,no importance,no importance
21873,likes dogs and likes cats,like,like
21874,no importance,no importance,no importance
21875,likes dogs,like,no importance
21876,likes dogs and likes cats,like,like
21877,likes dogs and has cats,like,own
21878,no importance,no importance,no importance
21879,likes dogs and dislikes cats,like,like
21880,likes dogs and likes cats,like,like
21881,likes dogs and has cats,like,own
21882,has dogs and has cats,own,own
21883,has dogs,own,no importance
21884,has cats,no importance,own
21885,no importance,no importance,no importance
21886,no importance,no importance,no importance
21887,has dogs,own,no importance
21888,no importance,no importance,no importance
21889,no importance,no importance,no importance
21890,no importance,no importance,no importance
21891,likes dogs and likes cats,like,like
21892,likes cats,no importance,like
21893,no importance,no importance,no importance
21894,likes dogs and has cats,like,own
21895,likes dogs and has cats,like,own
21896,likes dogs and likes cats,like,like
21897,likes cats,no importance,like
21898,likes dogs,like,no importance
21899,no importance,no importance,no importance
21900,has dogs and has cats,own,own
21901,no importance,no importance,no importance
21902,likes dogs and has cats,like,own
21903,no importance,no importance,no importance
21904,no importance,no importance,no importance
21905,likes dogs and likes cats,like,like
21906,likes dogs and likes cats,like,like
21907,likes dogs and has cats,like,own
21908,likes dogs and likes cats,like,like
21909,no importance,no importance,no importance
21910,no importance,no importance,no importance
21911,likes dogs and likes cats,like,like
21912,likes dogs,like,no importance
21913,likes dogs and likes cats,like,like
21914,likes dogs and likes cats,like,like
21915,no importance,no importance,no importance
21916,likes dogs and likes cats,like,like
21917,has dogs,own,no importance
21918,likes dogs and dislikes cats,like,like
21919,has dogs and likes cats,own,like
21920,no importance,no importance,no importance
21921,likes dogs and likes cats,like,like
21922,has dogs,own,no importance
21923,likes dogs,like,no importance
21924,likes dogs and likes cats,like,like
21925,no importance,no importance,no importance
21926,no importance,no importance,no importance
21927,has dogs,own,no importance
21928,no importance,no importance,no importance
21929,likes dogs and likes cats,like,like
21930,likes dogs and likes cats,like,like
21931,no importance,no importance,no importance
21932,likes dogs,like,no importance
21933,likes dogs and has cats,like,own
21934,no importance,no importance,no importance
21935,no importance,no importance,no importance
21936,likes dogs and dislikes cats,like,like
21937,likes dogs and likes cats,like,like
21938,has dogs,own,no importance
21939,likes dogs,like,no importance
21940,no importance,no importance,no importance
21941,no importance,no importance,no importance
21942,likes dogs and likes cats,like,like
21943,has dogs and likes cats,own,like
21944,likes dogs and likes cats,like,like
21945,no importance,no importance,no importance
21946,no importance,no importance,no importance
21947,likes dogs and likes cats,like,like
21948,has dogs and likes cats,own,like
21949,likes dogs,like,no importance
21950,no importance,no importance,no importance
21951,no importance,no importance,no importance
21952,likes dogs and likes cats,like,like
21953,likes dogs,like,no importance
21954,has dogs and has cats,own,own
21955,has dogs and likes cats,own,like
21956,no importance,no importance,no importance
21957,likes dogs and likes cats,like,like
21958,likes cats,no importance,like
21959,no importance,no importance,no importance
21960,dislikes dogs,like,no importance
21961,no importance,no importance,no importance
21962,likes dogs and dislikes cats,like,like
21963,likes dogs and has cats,like,own
21964,likes dogs,like,no importance
21965,likes dogs and dislikes cats,like,like
21966,no importance,no importance,no importance
21967,no importance,no importance,no importance
21968,has dogs and has cats,own,own
21969,likes dogs and likes cats,like,like
21970,likes dogs and likes cats,like,like
21971,likes dogs and has cats,like,own
21972,no importance,no importance,no importance
21973,likes dogs,like,no importance
21974,no importance,no importance,no importance
21975,likes dogs,like,no importance
21976,has cats,no importance,own
21977,no importance,no importance,no importance
21978,no importance,no importance,no importance
21979,has dogs,own,no importance
21980,has dogs and likes cats,own,like
21981,no importance,no importance,no importance
21982,has dogs,own,no importance
21983,likes dogs,like,no importance
21984,no importance,no importance,no importance
21985,no importance,no importance,no importance
21986,has dogs and likes cats,own,like
21987,likes dogs,like,no importance
21988,dislikes dogs and dislikes cats,like,like
21989,has dogs and dislikes cats,own,like
21990,likes dogs and likes cats,like,like
21991,likes dogs,like,no importance
21992,no importance,no importance,no importance
21993,likes dogs and has cats,like,own
21994,likes dogs and likes cats,like,like
21995,has dogs,own,no importance
21996,likes dogs and likes cats,like,like
21997,likes cats,no importance,like
21998,likes dogs and likes cats,like,like
21999,likes dogs and dislikes cats,like,like
22000,likes dogs and likes cats,like,like
22001,likes dogs and has cats,like,own
22002,likes dogs and likes cats,like,like
22003,has dogs,own,no importance
22004,likes dogs,like,no importance
22005,no importance,no importance,no importance
22006,no importance,no importance,no importance
22007,has dogs,own,no importance
22008,no importance,no importance,no importance
22009,likes dogs and likes cats,like,like
22010,likes dogs and has cats,like,own
22011,has dogs and has cats,own,own
22012,no importance,no importance,no importance
22013,dislikes dogs and likes cats,like,like
22014,no importance,no importance,no importance
22015,likes dogs,like,no importance
22016,has dogs and has cats,own,own
22017,likes dogs,like,no importance
22018,no importance,no importance,no importance
22019,no importance,no importance,no importance
22020,no importance,no importance,no importance
22021,likes cats,no importance,like
22022,likes dogs and has cats,like,own
22023,likes dogs and likes cats,like,like
22024,no importance,no importance,no importance
22025,likes dogs and likes cats,like,like
22026,likes dogs and likes cats,like,like
22027,likes dogs,like,no importance
22028,likes dogs and dislikes cats,like,like
22029,no importance,no importance,no importance
22030,likes dogs,like,no importance
22031,likes dogs and likes cats,like,like
22032,no importance,no importance,no importance
22033,has dogs,own,no importance
22034,no importance,no importance,no importance
22035,no importance,no importance,no importance
22036,no importance,no importance,no importance
22037,likes dogs and likes cats,like,like
22038,likes dogs and likes cats,like,like
22039,likes dogs,like,no importance
22040,no importance,no importance,no importance
22041,likes dogs and likes cats,like,like
22042,no importance,no importance,no importance
22043,likes dogs and likes cats,like,like
22044,dislikes dogs and likes cats,like,like
22045,likes dogs and has cats,like,own
22046,likes dogs and has cats,like,own
22047,no importance,no importance,no importance
22048,likes dogs and likes cats,like,like
22049,likes dogs and likes cats,like,like
22050,likes dogs and has cats,like,own
22051,likes dogs and has cats,like,own
22052,has dogs and likes cats,own,like
22053,likes dogs and likes cats,like,like
22054,likes dogs,like,no importance
22055,likes dogs and has cats,like,own
22056,likes dogs and likes cats,like,like
22057,likes dogs and has cats,like,own
22058,likes dogs and likes cats,like,like
22059,likes dogs and likes cats,like,like
22060,likes dogs and likes cats,like,like
22061,likes dogs,like,no importance
22062,likes dogs,like,no importance
22063,has dogs and likes cats,own,like
22064,likes dogs,like,no importance
22065,likes dogs and likes cats,like,like
22066,likes dogs and likes cats,like,like
22067,likes dogs and likes cats,like,like
22068,likes dogs and likes cats,like,like
22069,no importance,no importance,no importance
22070,no importance,no importance,no importance
22071,likes dogs and likes cats,like,like
22072,likes dogs,like,no importance
22073,likes dogs and dislikes cats,like,like
22074,likes dogs and likes cats,like,like
22075,likes dogs,like,no importance
22076,likes dogs and likes cats,like,like
22077,likes dogs and likes cats,like,like
22078,likes dogs,like,no importance
22079,likes dogs and likes cats,like,like
22080,no importance,no importance,no importance
22081,likes dogs and likes cats,like,like
22082,dislikes dogs and likes cats,like,like
22083,likes dogs,like,no importance
22084,likes dogs,like,no importance
22085,no importance,no importance,no importance
22086,has dogs and likes cats,own,like
22087,likes dogs and has cats,like,own
22088,likes dogs and likes cats,like,like
22089,likes dogs and has cats,like,own
22090,likes dogs and has cats,like,own
22091,likes dogs and has cats,like,own
22092,likes dogs and has cats,like,own
22093,likes dogs and likes cats,like,like
22094,likes dogs and likes cats,like,like
22095,likes dogs and likes cats,like,like
22096,no importance,no importance,no importance
22097,likes dogs and likes cats,like,like
22098,no importance,no importance,no importance
22099,likes dogs and likes cats,like,like
22100,has dogs,own,no importance
22101,has dogs and dislikes cats,own,like
22102,likes dogs and likes cats,like,like
22103,likes dogs and has cats,like,own
22104,likes dogs,like,no importance
22105,likes dogs and likes cats,like,like
22106,no importance,no importance,no importance
22107,likes dogs and likes cats,like,like
22108,has dogs,own,no importance
22109,likes dogs and likes cats,like,like
22110,likes dogs and likes cats,like,like
22111,no importance,no importance,no importance
22112,has dogs and dislikes cats,own,like
22113,has dogs and dislikes cats,own,like
22114,likes dogs,like,no importance
22115,likes dogs and likes cats,like,like
22116,has dogs,own,no importance
22117,no importance,no importance,no importance
22118,likes dogs and likes cats,like,like
22119,has cats,no importance,own
22120,no importance,no importance,no importance
22121,no importance,no importance,no importance
22122,likes dogs and likes cats,like,like
22123,no importance,no importance,no importance
22124,no importance,no importance,no importance
22125,likes dogs and likes cats,like,like
22126,no importance,no importance,no importance
22127,likes dogs and likes cats,like,like
22128,no importance,no importance,no importance
22129,has dogs and likes cats,own,like
22130,likes dogs and has cats,like,own
22131,likes dogs and has cats,like,own
22132,likes dogs and has cats,like,own
22133,likes dogs and likes cats,like,like
22134,likes dogs,like,no importance
22135,no importance,no importance,no importance
22136,likes dogs and has cats,like,own
22137,no importance,no importance,no importance
22138,likes dogs and has cats,like,own
22139,likes dogs and likes cats,like,like
22140,has dogs,own,no importance
22141,likes dogs and has cats,like,own
22142,likes dogs and likes cats,like,like
22143,no importance,no importance,no importance
22144,no importance,no importance,no importance
22145,likes dogs,like,no importance
22146,likes dogs and likes cats,like,like
22147,no importance,no importance,no importance
22148,no importance,no importance,no importance
22149,no importance,no importance,no importance
22150,has dogs,own,no importance
22151,likes dogs and likes cats,like,like
22152,likes dogs,like,no importance
22153,no importance,no importance,no importance
22154,has dogs and has cats,own,own
22155,has dogs and has cats,own,own
22156,no importance,no importance,no importance
22157,likes dogs and likes cats,like,like
22158,likes dogs and has cats,like,own
22159,no importance,no importance,no importance
22160,likes dogs,like,no importance
22161,has dogs and likes cats,own,like
22162,no importance,no importance,no importance
22163,has dogs and likes cats,own,like
22164,no importance,no importance,no importance
22165,likes dogs and likes cats,like,like
22166,likes dogs,like,no importance
22167,likes dogs and likes cats,like,like
22168,likes dogs and likes cats,like,like
22169,has dogs and has cats,own,own
22170,likes dogs and has cats,like,own
22171,no importance,no importance,no importance
22172,no importance,no importance,no importance
22173,no importance,no importance,no importance
22174,likes dogs and has cats,like,own
22175,likes dogs and likes cats,like,like
22176,no importance,no importance,no importance
22177,likes dogs and likes cats,like,like
22178,has cats,no importance,own
22179,likes dogs and likes cats,like,like
22180,likes dogs and likes cats,like,like
22181,likes dogs and likes cats,like,like
22182,likes dogs,like,no importance
22183,likes dogs and has cats,like,own
22184,no importance,no importance,no importance
22185,no importance,no importance,no importance
22186,no importance,no importance,no importance
22187,no importance,no importance,no importance
22188,no importance,no importance,no importance
22189,likes dogs and has cats,like,own
22190,no importance,no importance,no importance
22191,no importance,no importance,no importance
22192,has dogs,own,no importance
22193,likes dogs and dislikes cats,like,like
22194,likes dogs and likes cats,like,like
22195,likes cats,no importance,like
22196,likes dogs,like,no importance
22197,no importance,no importance,no importance
22198,no importance,no importance,no importance
22199,no importance,no importance,no importance
22200,likes dogs and has cats,like,own
22201,likes dogs and likes cats,like,like
22202,has dogs,own,no importance
22203,no importance,no importance,no importance
22204,likes dogs and likes cats,like,like
22205,likes dogs and dislikes cats,like,like
22206,no importance,no importance,no importance
22207,likes dogs,like,no importance
22208,likes dogs and likes cats,like,like
22209,likes dogs and likes cats,like,like
22210,likes dogs and has cats,like,own
22211,no importance,no importance,no importance
22212,has cats,no importance,own
22213,likes dogs and likes cats,like,like
22214,likes dogs and has cats,like,own
22215,likes dogs and likes cats,like,like
22216,likes dogs and likes cats,like,like
22217,has dogs and has cats,own,own
22218,likes dogs and has cats,like,own
22219,has dogs and has cats,own,own
22220,has dogs and likes cats,own,like
22221,likes dogs and likes cats,like,like
22222,likes cats,no importance,like
22223,likes dogs and dislikes cats,like,like
22224,no importance,no importance,no importance
22225,no importance,no importance,no importance
22226,has dogs,own,no importance
22227,no importance,no importance,no importance
22228,likes dogs and has cats,like,own
22229,no importance,no importance,no importance
22230,no importance,no importance,no importance
22231,has dogs and has cats,own,own
22232,no importance,no importance,no importance
22233,likes dogs,like,no importance
22234,likes dogs and likes cats,like,like
22235,likes dogs and likes cats,like,like
22236,no importance,no importance,no importance
22237,has dogs,own,no importance
22238,dislikes cats,no importance,like
22239,no importance,no importance,no importance
22240,has dogs,own,no importance
22241,has dogs and dislikes cats,own,like
22242,likes dogs,like,no importance
22243,has dogs,own,no importance
22244,has cats,no importance,own
22245,has dogs and likes cats,own,like
22246,likes cats,no importance,like
22247,no importance,no importance,no importance
22248,likes dogs and likes cats,like,like
22249,likes dogs and has cats,like,own
22250,has cats,no importance,own
22251,likes dogs and likes cats,like,like
22252,likes dogs and likes cats,like,like
22253,likes dogs and likes cats,like,like
22254,likes dogs and likes cats,like,like
22255,no importance,no importance,no importance
22256,no importance,no importance,no importance
22257,likes dogs and likes cats,like,like
22258,has dogs and likes cats,own,like
22259,likes dogs and has cats,like,own
22260,likes dogs and likes cats,like,like
22261,likes dogs,like,no importance
22262,likes dogs and has cats,like,own
22263,has dogs,own,no importance
22264,likes dogs and has cats,like,own
22265,likes dogs and likes cats,like,like
22266,no importance,no importance,no importance
22267,likes dogs and likes cats,like,like
22268,likes dogs and likes cats,like,like
22269,no importance,no importance,no importance
22270,likes dogs and likes cats,like,like
22271,likes dogs and likes cats,like,like
22272,likes dogs and dislikes cats,like,like
22273,likes dogs and dislikes cats,like,like
22274,has dogs,own,no importance
22275,no importance,no importance,no importance
22276,likes dogs and likes cats,like,like
22277,no importance,no importance,no importance
22278,likes dogs,like,no importance
22279,no importance,no importance,no importance
22280,likes dogs and likes cats,like,like
22281,no importance,no importance,no importance
22282,no importance,no importance,no importance
22283,likes dogs and dislikes cats,like,like
22284,likes dogs and likes cats,like,like
22285,likes dogs and likes cats,like,like
22286,no importance,no importance,no importance
22287,likes dogs,like,no importance
22288,likes dogs and likes cats,like,like
22289,likes dogs and likes cats,like,like
22290,has dogs,own,no importance
22291,no importance,no importance,no importance
22292,likes dogs and dislikes cats,like,like
22293,dislikes cats,no importance,like
22294,has dogs and likes cats,own,like
22295,no importance,no importance,no importance
22296,likes dogs,like,no importance
22297,no importance,no importance,no importance
22298,no importance,no importance,no importance
22299,no importance,no importance,no importance
22300,likes dogs and likes cats,like,like
22301,likes dogs and likes cats,like,like
22302,no importance,no importance,no importance
22303,likes dogs,like,no importance
22304,no importance,no importance,no importance
22305,likes dogs and dislikes cats,like,like
22306,likes cats,no importance,like
22307,likes dogs,like,no importance
22308,no importance,no importance,no importance
22309,no importance,no importance,no importance
22310,no importance,no importance,no importance
22311,likes dogs and likes cats,like,like
22312,no importance,no importance,no importance
22313,no importance,no importance,no importance
22314,likes dogs and has cats,like,own
22315,likes dogs and likes cats,like,like
22316,likes cats,no importance,like
22317,likes dogs and likes cats,like,like
22318,no importance,no importance,no importance
22319,no importance,no importance,no importance
22320,no importance,no importance,no importance
22321,no importance,no importance,no importance
22322,no importance,no importance,no importance
22323,has cats,no importance,own
22324,likes dogs and dislikes cats,like,like
22325,has dogs and likes cats,own,like
22326,likes dogs and likes cats,like,like
22327,has cats,no importance,own
22328,no importance,no importance,no importance
22329,no importance,no importance,no importance
22330,no importance,no importance,no importance
22331,likes dogs and dislikes cats,like,like
22332,likes dogs and likes cats,like,like
22333,likes dogs and likes cats,like,like
22334,has dogs and likes cats,own,like
22335,likes dogs and likes cats,like,like
22336,no importance,no importance,no importance
22337,no importance,no importance,no importance
22338,likes dogs and likes cats,like,like
22339,likes dogs and has cats,like,own
22340,has dogs and has cats,own,own
22341,likes dogs and likes cats,like,like
22342,no importance,no importance,no importance
22343,likes dogs and has cats,like,own
22344,no importance,no importance,no importance
22345,no importance,no importance,no importance
22346,no importance,no importance,no importance
22347,likes dogs and dislikes cats,like,like
22348,likes dogs and likes cats,like,like
22349,no importance,no importance,no importance
22350,has dogs and likes cats,own,like
22351,has cats,no importance,own
22352,no importance,no importance,no importance
22353,no importance,no importance,no importance
22354,no importance,no importance,no importance
22355,likes dogs and has cats,like,own
22356,has dogs,own,no importance
22357,likes dogs,like,no importance
22358,likes dogs and likes cats,like,like
22359,likes dogs and likes cats,like,like
22360,likes dogs and likes cats,like,like
22361,likes dogs,like,no importance
22362,likes dogs and has cats,like,own
22363,likes dogs and likes cats,like,like
22364,has cats,no importance,own
22365,likes dogs and likes cats,like,like
22366,likes dogs and likes cats,like,like
22367,no importance,no importance,no importance
22368,no importance,no importance,no importance
22369,likes dogs,like,no importance
22370,likes dogs,like,no importance
22371,likes dogs and likes cats,like,like
22372,has dogs and has cats,own,own
22373,no importance,no importance,no importance
22374,no importance,no importance,no importance
22375,has dogs and likes cats,own,like
22376,no importance,no importance,no importance
22377,likes dogs and has cats,like,own
22378,likes dogs and likes cats,like,like
22379,likes dogs and likes cats,like,like
22380,likes dogs,like,no importance
22381,no importance,no importance,no importance
22382,likes dogs,like,no importance
22383,likes dogs and likes cats,like,like
22384,likes dogs,like,no importance
22385,no importance,no importance,no importance
22386,likes cats,no importance,like
22387,no importance,no importance,no importance
22388,likes dogs and likes cats,like,like
22389,likes dogs and likes cats,like,like
22390,likes dogs and has cats,like,own
22391,no importance,no importance,no importance
22392,no importance,no importance,no importance
22393,no importance,no importance,no importance
22394,has dogs,own,no importance
22395,likes dogs and has cats,like,own
22396,likes dogs and has cats,like,own
22397,likes dogs and likes cats,like,like
22398,likes dogs,like,no importance
22399,no importance,no importance,no importance
22400,has dogs and dislikes cats,own,like
22401,has cats,no importance,own
22402,no importance,no importance,no importance
22403,likes dogs and likes cats,like,like
22404,likes dogs and likes cats,like,like
22405,likes dogs and dislikes cats,like,like
22406,has cats,no importance,own
22407,no importance,no importance,no importance
22408,no importance,no importance,no importance
22409,likes dogs,like,no importance
22410,no importance,no importance,no importance
22411,likes dogs,like,no importance
22412,no importance,no importance,no importance
22413,no importance,no importance,no importance
22414,no importance,no importance,no importance
22415,likes dogs and likes cats,like,like
22416,no importance,no importance,no importance
22417,no importance,no importance,no importance
22418,likes dogs and likes cats,like,like
22419,likes dogs,like,no importance
22420,likes dogs and has cats,like,own
22421,no importance,no importance,no importance
22422,no importance,no importance,no importance
22423,likes dogs,like,no importance
22424,likes dogs and dislikes cats,like,like
22425,likes dogs and likes cats,like,like
22426,likes dogs and likes cats,like,like
22427,no importance,no importance,no importance
22428,no importance,no importance,no importance
22429,likes dogs and likes cats,like,like
22430,likes dogs,like,no importance
22431,likes dogs and has cats,like,own
22432,likes dogs and likes cats,like,like
22433,likes dogs and likes cats,like,like
22434,likes dogs and likes cats,like,like
22435,likes dogs and likes cats,like,like
22436,no importance,no importance,no importance
22437,has dogs,own,no importance
22438,no importance,no importance,no importance
22439,likes dogs and likes cats,like,like
22440,has dogs and has cats,own,own
22441,likes dogs,like,no importance
22442,likes dogs and likes cats,like,like
22443,likes dogs and likes cats,like,like
22444,likes dogs and likes cats,like,like
22445,has dogs and likes cats,own,like
22446,no importance,no importance,no importance
22447,likes dogs,like,no importance
22448,no importance,no importance,no importance
22449,no importance,no importance,no importance
22450,dislikes dogs and dislikes cats,like,like
22451,likes dogs,like,no importance
22452,likes dogs,like,no importance
22453,likes dogs and dislikes cats,like,like
22454,has dogs and has cats,own,own
22455,no importance,no importance,no importance
22456,no importance,no importance,no importance
22457,no importance,no importance,no importance
22458,has cats,no importance,own
22459,likes dogs and likes cats,like,like
22460,likes dogs and likes cats,like,like
22461,likes dogs and likes cats,like,like
22462,no importance,no importance,no importance
22463,likes dogs and dislikes cats,like,like
22464,has dogs,own,no importance
22465,likes dogs and likes cats,like,like
22466,no importance,no importance,no importance
22467,likes dogs and likes cats,like,like
22468,has dogs,own,no importance
22469,no importance,no importance,no importance
22470,likes dogs and likes cats,like,like
22471,likes dogs,like,no importance
22472,likes dogs,like,no importance
22473,likes dogs and likes cats,like,like
22474,likes dogs and likes cats,like,like
22475,no importance,no importance,no importance
22476,no importance,no importance,no importance
22477,likes dogs and likes cats,like,like
22478,no importance,no importance,no importance
22479,likes dogs and likes cats,like,like
22480,no importance,no importance,no importance
22481,likes dogs and likes cats,like,like
22482,likes dogs and likes cats,like,like
22483,no importance,no importance,no importance
22484,likes dogs and likes cats,like,like
22485,likes cats,no importance,like
22486,likes dogs and likes cats,like,like
22487,likes dogs and likes cats,like,like
22488,has dogs and likes cats,own,like
22489,no importance,no importance,no importance
22490,has dogs and has cats,own,own
22491,likes dogs and likes cats,like,like
22492,no importance,no importance,no importance
22493,no importance,no importance,no importance
22494,likes dogs and likes cats,like,like
22495,likes dogs and dislikes cats,like,like
22496,dislikes dogs and likes cats,like,like
22497,likes dogs and likes cats,like,like
22498,likes dogs and likes cats,like,like
22499,likes dogs and likes cats,like,like
22500,likes dogs,like,no importance
22501,no importance,no importance,no importance
22502,no importance,no importance,no importance
22503,likes dogs and has cats,like,own
22504,likes dogs and dislikes cats,like,like
22505,likes dogs and likes cats,like,like
22506,likes dogs and likes cats,like,like
22507,has dogs and likes cats,own,like
22508,likes dogs,like,no importance
22509,no importance,no importance,no importance
22510,no importance,no importance,no importance
22511,has cats,no importance,own
22512,likes dogs and has cats,like,own
22513,dislikes dogs and dislikes cats,like,like
22514,likes dogs and likes cats,like,like
