index,speaks,fluent,good
35782,english (fluently),english,
35783,"english (fluently), german",english,german
35784,"english (fluently), english (fluently)",english,
35785,english (fluently),english,
35786,english (fluently),english,
35787,english (fluently),english,
35788,english (fluently),english,
35789,english (fluently),english,
35790,"english (fluently), farsi (fluently)","english, farsi",
35791,english (fluently),english,
35792,"english (fluently), spanish (fluently), indonesian (fluently)","english, spanish, indonesian",
35793,"english (fluently), spanish (fluently)","english, spanish",
35794,english (fluently),english,
35795,"english (fluently), english (fluently)",english,
35796,english (okay),english,english
35797,english (fluently),english,
35798,english (fluently),english,
35799,english (fluently),english,
35800,english (fluently),english,
35801,english (fluently),english,
35802,english (fluently),english,
35803,"english (fluently), spanish (okay)",english,spanish
35804,english (fluently),english,
35805,"english (fluently), spanish",english,spanish
35806,english (fluently),english,
35807,"english (fluently), russian (fluently), ukrainian (okay)","english, russian",ukrainian
35808,english (fluently),english,
35809,english (fluently),english,
35810,english (fluently),english,
35811,english (fluently),english,
35812,yiddish,english,yiddish
35813,"english (fluently), c++ (fluently)","english, c++",
35814,english (fluently),english,
35815,"english (fluently), chinese (okay)",english,chinese
35816,"english (fluently), french (okay)",english,french
35817,english (fluently),english,
35818,"english (fluently), italian (okay)",english,italian
35819,english (fluently),english,
35820,"english (fluently), other, other",english,
35821,english (fluently),english,
35822,english (fluently),english,
35823,english (fluently),english,
35824,english (fluently),english,
35825,"english (fluently), spanish (okay)",english,spanish
35826,english (fluently),english,
35827,english (fluently),english,
35828,english (fluently),english,
35829,english (fluently),english,
35830,english (fluently),english,
35831,english (fluently),english,
35832,english (fluently),english,
35833,english (fluently),english,
35834,"english (fluently), spanish (fluently)","english, spanish",
35835,"english (fluently), icelandic (okay), c++ (okay)",english,"icelandic, c++"
35836,"english (fluently), spanish (fluently), portuguese (okay)","english, spanish",portuguese
35837,english (fluently),english,
35838,"english (fluently), c++ (okay)",english,c++
35839,english (fluently),english,
35840,english (fluently),english,
35841,english (fluently),english,
35842,"english (fluently), french (okay)",english,french
35843,english (fluently),english,
35844,"english (fluently), english (fluently), french (okay)",english,french
35845,english (fluently),english,
35846,"english (fluently), chinese (okay)",english,chinese
35847,"english (fluently), spanish (fluently)","english, spanish",
35848,"english (fluently), spanish (fluently), italian (okay)","english, spanish",italian
35849,"english (fluently), chinese (fluently)","english, chinese",
35850,english (fluently),english,
35851,"english (fluently), spanish (okay), c++ (okay)",english,"spanish, c++"
35852,"english (fluently), danish (okay)",english,danish
35853,english (fluently),english,
35854,english (fluently),english,
35855,english (fluently),english,
35856,"english (fluently), spanish (fluently)","english, spanish",
35857,c++ (fluently),c++,
35858,english (okay),english,english
35859,english (fluently),english,
35860,english (fluently),english,
35861,"english (fluently), french (okay)",english,french
35862,english (fluently),english,
35863,"english (fluently), c++ (okay)",english,c++
35864,"english (fluently), spanish (fluently)","english, spanish",
35865,english (fluently),english,
35866,english (fluently),english,
35867,english (fluently),english,
35868,"english (fluently), spanish (fluently)","english, spanish",
35869,english (fluently),english,
35870,english (fluently),english,
35871,english (fluently),english,
35872,english (fluently),english,
35873,"english (fluently), spanish (fluently)","english, spanish",
35874,"english (fluently), chinese (fluently), spanish (okay)","english, chinese",spanish
35875,english (fluently),english,
35876,"english (fluently), french (okay), hindi (okay)",english,"french, hindi"
35877,english (fluently),english,
35878,english (fluently),english,
35879,english (fluently),english,
35880,english (fluently),english,
35881,"english (fluently), french, greek",english,"french, greek"
35882,english (fluently),english,
35883,english (okay),english,english
35884,"english (okay), portuguese (fluently), spanish (okay)",portuguese,"english, spanish"
35885,english (fluently),english,
35886,english (fluently),english,
35887,english (fluently),english,
35888,english (fluently),english,
35889,english (fluently),english,
35890,english (fluently),english,
35891,english (fluently),english,
35892,"english (fluently), german (okay)",english,german
35893,english (fluently),english,
35894,english (fluently),english,
35895,english (fluently),english,
35896,"english (fluently), german (okay)",english,german
35897,"english (fluently), spanish (okay)",english,spanish
35898,english (fluently),english,
35899,english (fluently),english,
35900,"english (fluently), hungarian",english,hungarian
35901,english (fluently),english,
35902,"english (fluently), c++ (okay)",english,c++
35903,english (fluently),english,
35904,english (fluently),english,
35905,english (fluently),english,
35906,english (fluently),english,
35907,"english (fluently), spanish (fluently)","english, spanish",
35908,english (fluently),english,
35909,english (fluently),english,
35910,english (fluently),english,
35911,"english (fluently), sign language (okay)",english,sign language
35912,"english (fluently), french (fluently), german (okay)","english, french",german
35913,english (fluently),english,
35914,english (fluently),english,
35915,"english (okay), italian (fluently)",italian,english
35916,english (fluently),english,
35917,english (fluently),english,
35918,"english (fluently), spanish (okay)",english,spanish
35919,english (fluently),english,
35920,"english (fluently), spanish (okay)",english,spanish
35921,english (fluently),english,
35922,"english (fluently), spanish (okay)",english,spanish
35923,"english (fluently), italian (fluently)","english, italian",
35924,"english (fluently), japanese (okay), french (okay)",english,"japanese, french"
35925,english (fluently),english,
35926,english (fluently),english,
35927,english (fluently),english,
35928,english (fluently),english,
35929,"english (fluently), spanish (fluently)","english, spanish",
35930,english (fluently),english,
35931,"english (fluently), french, german",english,"french, german"
35932,english (fluently),english,
35933,english (fluently),english,
35934,english (fluently),english,
35935,english (fluently),english,
35936,english (fluently),english,
35937,english (fluently),english,
35938,english (fluently),english,
35939,english (fluently),english,
35940,"english (fluently), french (okay)",english,french
35941,"english (fluently), french (fluently)","english, french",
35942,english (fluently),english,
35943,english (fluently),english,
35944,"english (fluently), russian, romanian",english,"russian, romanian"
35945,"english (fluently), urdu (fluently)","english, urdu",
35946,"english (fluently), spanish (okay)",english,spanish
35947,english (fluently),english,
35948,english (fluently),english,
35949,"english (fluently), afrikaans (okay), lisp (fluently), ancient greek (okay)","english, lisp","afrikaans, ancient greek"
35950,english (fluently),english,
35951,"english (fluently), spanish (okay)",english,spanish
35952,english (fluently),english,
35953,"english (fluently), spanish (okay)",english,spanish
35954,english (fluently),english,
35955,english (fluently),english,
35956,english (fluently),english,
35957,english (fluently),english,
35958,english (fluently),english,
35959,"english (fluently), spanish",english,spanish
35960,english (fluently),english,
35961,english (fluently),english,
35962,english (fluently),english,
35963,english (fluently),english,
35964,english (fluently),english,
35965,"english (fluently), arabic (fluently), french (fluently), spanish (fluently), portuguese (fluently)","english, arabic, french, spanish, portuguese",
35966,"english (fluently), chinese (okay)",english,chinese
35967,english (fluently),english,
35968,"english (fluently), french (okay)",english,french
35969,english (fluently),english,
35970,english (fluently),english,
35971,"english (fluently), spanish (okay)",english,spanish
35972,"english (fluently), spanish (okay)",english,spanish
35973,english (fluently),english,
35974,english (fluently),english,
35975,english (fluently),english,
35976,english (fluently),english,
35977,english (fluently),english,
35978,"english (fluently), spanish (okay)",english,spanish
35979,,english,
35980,"english (fluently), portuguese, spanish",english,"portuguese, spanish"
35981,english (fluently),english,
35982,english (fluently),english,
35983,english (fluently),english,
35984,"english (fluently), urdu (fluently)","english, urdu",
35985,"english (fluently), spanish (fluently), italian (okay)","english, spanish",italian
35986,"english (fluently), hindi (fluently), bengali (fluently)","english, hindi, bengali",
35987,english (fluently),english,
35988,english (fluently),english,
35989,english (fluently),english,
35990,english (fluently),english,
35991,"english (fluently), japanese (fluently)","english, japanese",
35992,english (fluently),english,
35993,english (fluently),english,
35994,other (okay),english,
35995,english (fluently),english,
35996,english (fluently),english,
35997,english (fluently),english,
35998,english (fluently),english,
35999,"english (fluently), english (fluently)",english,
36000,thai (okay),english,thai
36001,"english (fluently), japanese (okay)",english,japanese
36002,"english (fluently), farsi (fluently)","english, farsi",
36003,"english (fluently), spanish (fluently)","english, spanish",
36004,english (fluently),english,
36005,"english (fluently), spanish (fluently)","english, spanish",
36006,english (fluently),english,
36007,english (fluently),english,
36008,english (fluently),english,
36009,"english (fluently), french (fluently), japanese (okay), korean (okay)","english, french","japanese, korean"
36010,english (fluently),english,
36011,"english (okay), chinese (fluently)",chinese,english
36012,english (fluently),english,
36013,english (fluently),english,
36014,english (fluently),english,
36015,english (fluently),english,
36016,english (fluently),english,
36017,"english (fluently), portuguese, spanish",english,"portuguese, spanish"
36018,,english,
36019,english (fluently),english,
36020,english (fluently),english,
36021,english (fluently),english,
36022,english (fluently),english,
36023,english (fluently),english,
36024,english (fluently),english,
36025,english (fluently),english,
36026,"english (fluently), c++ (okay)",english,c++
36027,english (fluently),english,
36028,english (fluently),english,
36029,english (fluently),english,
36030,english (fluently),english,
36031,english (fluently),english,
36032,english (fluently),english,
36033,"english (fluently), spanish",english,spanish
36034,"english (fluently), vietnamese",english,vietnamese
36035,english (fluently),english,
36036,english (fluently),english,
36037,english (fluently),english,
36038,english (fluently),english,
36039,"english (fluently), portuguese (fluently)","english, portuguese",
36040,english (fluently),english,
36041,english (fluently),english,
36042,"english (fluently), esperanto",english,esperanto
36043,"english (fluently), spanish (okay)",english,spanish
36044,"english (fluently), english (fluently), chinese (fluently), swahili (okay)","english, chinese",swahili
36045,english (fluently),english,
36046,english (fluently),english,
36047,"english (fluently), hindi, tamil, other, c++",english,"hindi, tamil c++"
36048,english (fluently),english,
36049,"english (fluently), c++ (fluently)","english, c++",
36050,english (fluently),english,
36051,english (fluently),english,
36052,"english (fluently), spanish",english,spanish
36053,english (fluently),english,
36054,"english (fluently), spanish (fluently)","english, spanish",
36055,"english (fluently), spanish (okay)",english,spanish
36056,english (fluently),english,
36057,english (fluently),english,
36058,english (fluently),english,
36059,english (fluently),english,
36060,"english (fluently), dutch (okay), german (okay), spanish (okay)",english,"dutch, german, spanish"
36061,"english (fluently), german (fluently)","english, german",
36062,english (fluently),english,
36063,"english (fluently), italian (fluently)","english, italian",
36064,english (fluently),english,
36065,english (fluently),english,
36066,english (fluently),english,
36067,english (okay),english,english
36068,"english (okay), lithuanian (fluently), russian (okay)",lithuanian,"english, russian"
36069,"english (fluently), spanish (fluently), german (okay)","english, spanish",german
36070,"english (fluently), other (fluently)",english,
36071,english (fluently),english,
36072,english (fluently),english,
36073,english (fluently),english,
36074,"english (fluently), chinese (okay)",english,chinese
36075,"english (fluently), chinese (fluently)","english, chinese",
36076,"english (fluently), spanish (fluently), french (okay)","english, spanish",french
36077,english (fluently),english,
36078,english (fluently),english,
36079,english (fluently),english,
36080,"english (fluently), spanish",english,spanish
36081,english (fluently),english,
36082,"english (fluently), french (fluently)","english, french",
36083,english (fluently),english,
36084,english (fluently),english,
36085,english (fluently),english,
36086,english (fluently),english,
36087,"english (fluently), chinese (okay)",english,chinese
36088,"english (fluently), german (okay)",english,german
36089,english (fluently),english,
36090,english (fluently),english,
36091,english (fluently),english,
36092,english (fluently),english,
36093,english (fluently),english,
36094,english (fluently),english,
36095,"english (okay), english (okay)",english,english
36096,"english (fluently), korean (fluently), japanese (okay)","english, korean",japanese
36097,english (fluently),english,
36098,english (fluently),english,
36099,english (fluently),english,
36100,english (fluently),english,
36101,"english (fluently), arabic (okay)",english,arabic
36102,"english (fluently), spanish (okay)",english,spanish
36103,english (fluently),english,
36104,english (fluently),english,
36105,english (fluently),english,
36106,english (fluently),english,
36107,english (fluently),english,
36108,english (fluently),english,
36109,english (fluently),english,
36110,"english (fluently), japanese",english,japanese
36111,"english (fluently), spanish (okay)",english,spanish
36112,english (fluently),english,
36113,english (fluently),english,
36114,english (fluently),english,
36115,english (fluently),english,
36116,"english (fluently), vietnamese (fluently)","english, vietnamese",
36117,english (fluently),english,
36118,"english (fluently), japanese (fluently), tamil (okay), chinese (okay)","english, japanese","tamil, chinese"
36119,english (fluently),english,
36120,english (fluently),english,
36121,"english (fluently), spanish (okay)",english,spanish
36122,"english (fluently), english (fluently), italian (okay), turkish (fluently)","english, turkish",italian
36123,english (fluently),english,
36124,english (fluently),english,
36125,"english (fluently), french (okay)",english,french
36126,english (fluently),english,
36127,english (fluently),english,
36128,english (fluently),english,
36129,english (fluently),english,
36130,english (fluently),english,
36131,english (fluently),english,
36132,english (fluently),english,
36133,english (okay),english,english
36134,english (fluently),english,
36135,english (fluently),english,
36136,english (fluently),english,
36137,english (fluently),english,
36138,english (fluently),english,
36139,"english (fluently), spanish",english,spanish
36140,"english (fluently), hindi (okay)",english,hindi
36141,"english (fluently), spanish (okay)",english,spanish
36142,english (fluently),english,
36143,"english (fluently), other (okay)",english,
36144,english (fluently),english,
36145,english (fluently),english,
36146,"english (fluently), turkish (okay)",english,turkish
36147,english (fluently),english,
36148,english (fluently),english,
36149,english (fluently),english,
36150,english (fluently),english,
36151,english (fluently),english,
36152,english (fluently),english,
36153,"english (fluently), french (fluently)","english, french",
36154,english (fluently),english,
36155,"english (fluently), korean (okay)",english,korean
36156,english (fluently),english,
36157,russian (fluently),russian,
36158,english (fluently),english,
36159,"english (fluently), russian (fluently)","english, russian",
36160,english (fluently),english,
36161,english (fluently),english,
36162,english (fluently),english,
36163,"english (fluently), spanish (okay), german (okay), sign language (okay)",english,"spanish, german, sign language"
36164,english (fluently),english,
36165,"english (fluently), russian (okay)",english,russian
36166,english (fluently),english,
36167,english (fluently),english,
36168,english (fluently),english,
36169,english (fluently),english,
36170,english (fluently),english,
36171,"english (fluently), spanish (okay)",english,spanish
36172,english (fluently),english,
36173,"english (fluently), other, malay, hindi",english,"malay, hindi"
36174,english (fluently),english,
36175,english (fluently),english,
36176,"english (fluently), spanish (okay)",english,spanish
36177,"english (fluently), german (fluently), norwegian (fluently), c++ (fluently), french (okay)","english, german, norwegian, c++",french
36178,"english (fluently), french (okay)",english,french
36179,english (fluently),english,
36180,english (fluently),english,
36181,"english (fluently), french (okay), chinese (okay), hebrew (okay)",english,"french, chinese, hebrew"
36182,english (fluently),english,
36183,"english (fluently), spanish (fluently), italian (okay)","english, spanish",italian
36184,english (fluently),english,
36185,"english (fluently), spanish (fluently)","english, spanish",
36186,english (fluently),english,
36187,"english (fluently), portuguese (fluently), sign language (okay)","english, portuguese",sign language
36188,english (fluently),english,
36189,english (fluently),english,
36190,"english (fluently), german (fluently)","english, german",
36191,english (fluently),english,
36192,"english (fluently), chinese (okay)",english,chinese
36193,english (fluently),english,
36194,english (fluently),english,
36195,english (fluently),english,
36196,english (fluently),english,
36197,english (fluently),english,
36198,"english (okay), chinese (okay), vietnamese (fluently)",vietnamese,"english, chinese"
36199,english (fluently),english,
36200,english (fluently),english,
36201,"english (fluently), spanish (fluently)","english, spanish",
36202,english (fluently),english,
36203,english (fluently),english,
36204,english (fluently),english,
36205,"english (fluently), spanish (okay)",english,spanish
36206,"english (fluently), chinese (fluently)","english, chinese",
36207,english (fluently),english,
36208,english (fluently),english,
36209,english (fluently),english,
36210,english (fluently),english,
36211,english (fluently),english,
36212,english (fluently),english,
36213,english (fluently),english,
36214,english (fluently),english,
36215,"english (fluently), tagalog (okay)",english,tagalog
36216,english (fluently),english,
36217,"english (fluently), italian (okay)",english,italian
36218,english (fluently),english,
36219,english (fluently),english,
36220,english (fluently),english,
36221,english (fluently),english,
36222,"english (fluently), farsi (fluently)","english, farsi",
36223,english (fluently),english,
36224,"english (fluently), spanish (fluently)","english, spanish",
36225,english (fluently),english,
36226,english (fluently),english,
36227,english (fluently),english,
36228,english (fluently),english,
36229,english (fluently),english,
36230,"english (fluently), chinese, japanese",english,"chinese, japanese"
36231,english (fluently),english,
36232,english (fluently),english,
36233,"english (fluently), spanish (okay)",english,spanish
36234,"english (fluently), c++ (fluently)","english, c++",
36235,"english (fluently), spanish",english,spanish
36236,english (fluently),english,
36237,"english (fluently), french (okay)",english,french
36238,english (fluently),english,
36239,"english (fluently), french (okay)",english,french
36240,"english (fluently), chinese (okay)",english,chinese
36241,english (fluently),english,
36242,english (fluently),english,
36243,english (fluently),english,
36244,english (fluently),english,
36245,"english (fluently), spanish (fluently), japanese (okay)","english, spanish",japanese
36246,english (fluently),english,
36247,english (fluently),english,
36248,english (fluently),english,
36249,english (fluently),english,
36250,english (fluently),english,
36251,english (fluently),english,
36252,english (fluently),english,
36253,"english (fluently), arabic (okay)",english,arabic
36254,english (fluently),english,
36255,"english (fluently), chinese",english,chinese
36256,english (fluently),english,
36257,english (fluently),english,
36258,english (fluently),english,
36259,english (fluently),english,
36260,english (fluently),english,
36261,english (fluently),english,
36262,"english (fluently), russian (okay)",english,russian
36263,english (fluently),english,
36264,"english (fluently), farsi (fluently)","english, farsi",
36265,english (fluently),english,
36266,english (fluently),english,
36267,"english (fluently), chinese (fluently), spanish (fluently)","english, chinese, spanish",
36268,"english (fluently), russian (fluently)","english, russian",
36269,english (fluently),english,
36270,english (fluently),english,
36271,english (fluently),english,
36272,"english (fluently), spanish (okay)",english,spanish
36273,"english (fluently), c++ (okay)",english,c++
36274,"english (fluently), spanish (fluently)","english, spanish",
36275,english (fluently),english,
36276,"english (fluently), spanish, c++",english,"spanish, c++"
36277,english (fluently),english,
36278,english (fluently),english,
36279,english (fluently),english,
36280,"english (fluently), italian (okay)",english,italian
36281,english (fluently),english,
36282,"english (fluently), russian (fluently)","english, russian",
36283,"english (okay), german (fluently)",german,english
36284,"english (fluently), german (fluently)","english, german",
36285,english (fluently),english,
36286,english (fluently),english,
36287,"english (fluently), korean (okay)",english,korean
36288,"english (fluently), japanese (okay)",english,japanese
36289,english (fluently),english,
36290,english (fluently),english,
36291,"english (fluently), spanish (okay)",english,spanish
36292,english (fluently),english,
36293,english (fluently),english,
36294,"english (fluently), spanish (fluently)","english, spanish",
36295,english (fluently),english,
36296,"english (fluently), spanish (okay)",english,spanish
36297,"english (fluently), spanish (fluently), catalan (okay)","english, spanish",catalan
36298,"english (fluently), spanish",english,spanish
36299,english (fluently),english,
36300,english (fluently),english,
36301,english (fluently),english,
36302,english (fluently),english,
36303,"english (fluently), yiddish (fluently), sanskrit (fluently)","english, yiddish, sanskrit",
36304,english (fluently),english,
36305,english (fluently),english,
36306,"english (fluently), spanish (fluently), italian (okay), french (okay), sign language (okay)","english, spanish","italian, french, sign language"
36307,english (fluently),english,
36308,"english (fluently), c++ (okay), lisp (okay)",english,"c++, lisp"
36309,"english (fluently), spanish (okay), tagalog (fluently)","english, tagalog",spanish
36310,english (fluently),english,
36311,english (fluently),english,
36312,"english (fluently), spanish (okay)",english,spanish
36313,"english (fluently), c++ (okay)",english,c++
36314,"english (fluently), ancient greek, hebrew",english,"ancient greek, hebrew"
36315,"english (fluently), swedish (fluently), german (okay)","english, swedish",german
36316,english (fluently),english,
36317,"english (okay), english (okay), hindi (okay), urdu",english,"english, hindi, urdu"
36318,"english (fluently), spanish (okay)",english,spanish
36319,"english (fluently), spanish",english,spanish
36320,english (fluently),english,
36321,english (fluently),english,
36322,"english (fluently), spanish (okay)",english,spanish
36323,english (fluently),english,
36324,english (fluently),english,
36325,english (fluently),english,
36326,english (fluently),english,
36327,english (fluently),english,
36328,"english (fluently), tagalog",english,tagalog
36329,english (fluently),english,
36330,"english (okay), spanish (fluently)",spanish,english
36331,"english (fluently), spanish (okay)",english,spanish
36332,english (fluently),english,
36333,english (fluently),english,
36334,english (fluently),english,
36335,"english (fluently), french (okay)",english,french
36336,"english (fluently), chinese (okay)",english,chinese
36337,english (fluently),english,
36338,"english (fluently), spanish (fluently)","english, spanish",
36339,"english (fluently), spanish (fluently)","english, spanish",
36340,english (fluently),english,
36341,"english (fluently), spanish (okay)",english,spanish
36342,english (fluently),english,
36343,english (fluently),english,
36344,"english (fluently), spanish (fluently)","english, spanish",
36345,english (fluently),english,
36346,english (fluently),english,
36347,,english,
36348,english (fluently),english,
36349,"english (fluently), spanish (okay)",english,spanish
36350,english (fluently),english,
36351,english (fluently),english,
36352,"english (fluently), chinese (fluently)","english, chinese",
36353,"english (fluently), lisp (okay)",english,lisp
36354,"english (fluently), farsi (fluently)","english, farsi",
36355,"english (fluently), hindi (fluently)","english, hindi",
36356,english (fluently),english,
36357,"english (fluently), japanese (okay)",english,japanese
36358,english (fluently),english,
36359,english (fluently),english,
36360,"english (fluently), hindi (okay)",english,hindi
36361,english (fluently),english,
36362,"english (fluently), french (fluently), spanish (fluently), italian (okay)","english, french, spanish",italian
36363,english (fluently),english,
36364,english (fluently),english,
36365,"english (fluently), italian (okay)",english,italian
36366,"english (fluently), farsi (okay)",english,farsi
36367,english (fluently),english,
36368,english (fluently),english,
36369,english (fluently),english,
36370,english (fluently),english,
36371,"english (fluently), spanish (okay), french (okay)",english,"spanish, french"
36372,english (fluently),english,
36373,"english (fluently), sign language (okay)",english,sign language
36374,english (fluently),english,
36375,english (fluently),english,
36376,"english (fluently), french",english,french
36377,english (fluently),english,
36378,"english (fluently), spanish",english,spanish
36379,english (fluently),english,
36380,"english (fluently), spanish (okay)",english,spanish
36381,english (fluently),english,
36382,"english (fluently), french (okay)",english,french
36383,english (fluently),english,
36384,"english (fluently), chinese (fluently)","english, chinese",
36385,english (fluently),english,
36386,english (fluently),english,
36387,english (fluently),english,
36388,english (fluently),english,
36389,english (fluently),english,
36390,english (fluently),english,
36391,"english (fluently), french (okay)",english,french
36392,"english (fluently), spanish (okay)",english,spanish
36393,english (fluently),english,
36394,english (fluently),english,
36395,english (fluently),english,
36396,english (fluently),english,
36397,"english (fluently), spanish (fluently)","english, spanish",
36398,english (fluently),english,
36399,english (fluently),english,
36400,"english (fluently), spanish",english,spanish
36401,english (fluently),english,
36402,english (fluently),english,
36403,english (fluently),english,
36404,"english (fluently), chinese (fluently)","english, chinese",
36405,english (fluently),english,
36406,english (fluently),english,
36407,english (fluently),english,
36408,english (fluently),english,
36409,english (fluently),english,
36410,english (fluently),english,
36411,english (fluently),english,
36412,"english (fluently), spanish (okay)",english,spanish
36413,"english (fluently), french",english,french
36414,english (fluently),english,
36415,"english (fluently), spanish (okay)",english,spanish
36416,"english (fluently), spanish (okay)",english,spanish
36417,"english (fluently), spanish (okay)",english,spanish
36418,english (fluently),english,
36419,english (fluently),english,
36420,english (fluently),english,
36421,english (fluently),english,
36422,english (fluently),english,
36423,english (fluently),english,
36424,"english (fluently), icelandic (fluently), danish (okay)","english, icelandic",danish
36425,english (fluently),english,
36426,english (fluently),english,
36427,english (fluently),english,
36428,"english (fluently), german (fluently)","english, german",
36429,"english (fluently), german (fluently)","english, german",
36430,"english (fluently), spanish (okay)",english,spanish
36431,english (fluently),english,
36432,"english (fluently), german (fluently)","english, german",
36433,english (fluently),english,
36434,"english (okay), french (fluently)",french,english
36435,english (fluently),english,
36436,english (fluently),english,
36437,"english (fluently), latin (okay)",english,latin
36438,"english (fluently), arabic (okay)",english,arabic
36439,english (fluently),english,
36440,english (fluently),english,
36441,english (fluently),english,
36442,"english (fluently), spanish (okay)",english,spanish
36443,"english (fluently), spanish (fluently)","english, spanish",
36444,english (fluently),english,
36445,"english (fluently), italian",english,italian
36446,english (fluently),english,
36447,english (fluently),english,
36448,english (fluently),english,
36449,english (fluently),english,
36450,english (fluently),english,
36451,english (fluently),english,
36452,"english (fluently), russian (okay), italian (okay), spanish (okay)",english,"russian, italian, spanish"
36453,"english (fluently), spanish (okay)",english,spanish
36454,english (fluently),english,
36455,"english (fluently), spanish (okay)",english,spanish
36456,"english (fluently), german (okay)",english,german
36457,"english (fluently), spanish",english,spanish
36458,english (fluently),english,
36459,english (fluently),english,
36460,english (fluently),english,
36461,english (fluently),english,
36462,english (fluently),english,
36463,"english (fluently), c++ (fluently), japanese (okay)","english, c++",japanese
36464,english (fluently),english,
36465,"english (fluently), portuguese (fluently)","english, portuguese",
36466,"english (fluently), german (okay)",english,german
36467,"english (fluently), greek (fluently)","english, greek",
36468,english (fluently),english,
36469,"english (fluently), spanish (fluently)","english, spanish",
36470,"english (fluently), spanish (okay)",english,spanish
36471,"english (fluently), c++ (okay)",english,c++
36472,english (fluently),english,
36473,english (fluently),english,
36474,english (fluently),english,
36475,english (fluently),english,
36476,"english (fluently), italian (okay)",english,italian
36477,"english (fluently), spanish (fluently)","english, spanish",
36478,english (fluently),english,
36479,"english (fluently), french (okay)",english,french
36480,english (fluently),english,
36481,"english (fluently), spanish (okay)",english,spanish
36482,"english (fluently), french (okay), tagalog (okay)",english,"french, tagalog"
36483,english (fluently),english,
36484,english (fluently),english,
36485,"english (fluently), german (fluently), spanish (okay)","english, german",spanish
36486,"english (fluently), spanish (okay), french (okay)",english,"spanish, french"
36487,english (fluently),english,
36488,"english (fluently), spanish (fluently)","english, spanish",
36489,"english (fluently), spanish (okay)",english,spanish
36490,"english (fluently), german (fluently), c++ (okay)","english, german",c++
36491,"english (okay), russian (fluently), ukrainian (fluently)","russian, ukrainian",english
36492,english (fluently),english,
36493,english (fluently),english,
36494,"english (fluently), tagalog",english,tagalog
36495,english (fluently),english,
36496,english (fluently),english,
36497,english (fluently),english,
36498,"english (fluently), spanish (fluently)","english, spanish",
36499,english (fluently),english,
36500,english (fluently),english,
36501,english (fluently),english,
36502,,english,
36503,english (fluently),english,
36504,english (fluently),english,
36505,"english (fluently), spanish",english,spanish
36506,english (fluently),english,
36507,english (fluently),english,
36508,"english (fluently), spanish",english,spanish
36509,english (fluently),english,
36510,"english (fluently), czech",english,czech
36511,english (fluently),english,
36512,"english (fluently), french (okay)",english,french
36513,english (fluently),english,
36514,english (fluently),english,
36515,english (fluently),english,
36516,english (fluently),english,
36517,"english (fluently), french, farsi",english,"french, farsi"
36518,english (fluently),english,
36519,english (fluently),english,
36520,english (fluently),english,
36521,english (fluently),english,
36522,english (fluently),english,
36523,english (fluently),english,
36524,english (fluently),english,
36525,english (fluently),english,
36526,english (fluently),english,
36527,english (fluently),english,
36528,"english (fluently), english (fluently)",english,
36529,"english (fluently), tagalog (okay)",english,tagalog
36530,"english (fluently), greek (fluently), chinese (okay)","english, greek",chinese
36531,english (fluently),english,
36532,english (fluently),english,
36533,"english (fluently), french (fluently), german (fluently), spanish (fluently)","english, french, german, spanish",
36534,english (fluently),english,
36535,english (fluently),english,
36536,english (fluently),english,
36537,english (fluently),english,
36538,english (fluently),english,
36539,english (fluently),english,
36540,english (fluently),english,
36541,"english (fluently), french (okay), spanish (okay)",english,"french, spanish"
36542,english (fluently),english,
36543,english (fluently),english,
36544,english (fluently),english,
36545,english (fluently),english,
36546,english (fluently),english,
36547,"english (fluently), spanish (fluently), korean (okay)","english, spanish",korean
36548,english (fluently),english,
36549,"english (fluently), chinese",english,chinese
36550,english (fluently),english,
36551,english (fluently),english,
36552,english (fluently),english,
36553,english (fluently),english,
36554,"english (fluently), spanish (fluently), french (okay), portuguese (okay)","english, spanish","french, portuguese"
36555,"english (fluently), spanish (fluently)","english, spanish",
36556,english (fluently),english,
36557,"english (fluently), c++ (fluently)","english, c++",
36558,english (fluently),english,
36559,english (fluently),english,
36560,"english (fluently), spanish (fluently), french (okay)","english, spanish",french
36561,"english (fluently), spanish (fluently)","english, spanish",
36562,english (fluently),english,
36563,english (fluently),english,
36564,"english (fluently), japanese (okay), spanish (okay)",english,"japanese, spanish"
36565,english (fluently),english,
36566,english (fluently),english,
36567,english (fluently),english,
36568,"english (fluently), french, spanish, portuguese",english,"french, spanish, portuguese"
36569,"english (fluently), russian",english,russian
36570,"english (fluently), thai (okay)",english,thai
36571,english (fluently),english,
36572,english (fluently),english,
36573,english (fluently),english,
36574,"english (fluently), chinese (fluently)","english, chinese",
36575,english (fluently),english,
36576,english (fluently),english,
36577,english (fluently),english,
36578,english (fluently),english,
36579,english (fluently),english,
36580,"english (fluently), spanish (okay)",english,spanish
36581,english (fluently),english,
36582,"english (fluently), chinese (okay)",english,chinese
36583,english (fluently),english,
36584,"english (fluently), lithuanian (fluently)","english, lithuanian",
36585,spanish (okay),english,spanish
36586,english (fluently),english,
36587,"english (fluently), russian (fluently), french (fluently), spanish (okay)","english, russian, french",spanish
36588,english (fluently),english,
36589,english (fluently),english,
36590,"english (fluently), spanish (okay)",english,spanish
36591,english (fluently),english,
36592,english (fluently),english,
36593,english (fluently),english,
36594,english (fluently),english,
36595,english (fluently),english,
36596,english (fluently),english,
36597,"english (fluently), german (okay)",english,german
