index,religion,religion_name,seriousness
22161,christianity,christianity,no importance
22162,atheism but not too serious about it,atheism,not too serious
22163,buddhism,buddhism,no importance
22164,rather not disclose,rather not disclose,no importance
22165,atheism and laughing about it,atheism,laughing
22166,christianity but not too serious about it,christianity,not too serious
22167,buddhism,buddhism,no importance
22168,other and laughing about it,other,no importance
22169,judaism and somewhat serious about it,judaism,somewhat serious
22170,rather not disclose,rather not disclose,no importance
22171,other,other,no importance
22172,rather not disclose,rather not disclose,no importance
22173,rather not disclose,rather not disclose,no importance
22174,agnosticism,agnosticism,no importance
22175,atheism and somewhat serious about it,atheism,somewhat serious
22176,agnosticism,agnosticism,no importance
22177,other and laughing about it,other,no importance
22178,agnosticism,agnosticism,no importance
22179,other and laughing about it,other,no importance
22180,atheism and laughing about it,atheism,laughing
22181,agnosticism and somewhat serious about it,agnosticism,somewhat serious
22182,christianity,christianity,no importance
22183,atheism but not too serious about it,atheism,not too serious
22184,other and laughing about it,other,no importance
22185,rather not disclose,rather not disclose,no importance
22186,buddhism,buddhism,no importance
22187,judaism but not too serious about it,judaism,not too serious
22188,rather not disclose,rather not disclose,no importance
22189,other,other,no importance
22190,rather not disclose,rather not disclose,no importance
22191,catholicism and somewhat serious about it,catholicism,somewhat serious
22192,rather not disclose,rather not disclose,no importance
22193,atheism and laughing about it,atheism,laughing
22194,rather not disclose,rather not disclose,no importance
22195,atheism but not too serious about it,atheism,not too serious
22196,rather not disclose,rather not disclose,no importance
22197,judaism,judaism,no importance
22198,rather not disclose,rather not disclose,no importance
22199,agnosticism but not too serious about it,agnosticism,not too serious
22200,other but not too serious about it,other,no importance
22201,rather not disclose,rather not disclose,no importance
22202,other,other,no importance
22203,catholicism and somewhat serious about it,catholicism,somewhat serious
22204,rather not disclose,rather not disclose,no importance
22205,rather not disclose,rather not disclose,no importance
22206,rather not disclose,rather not disclose,no importance
22207,atheism,atheism,no importance
22208,agnosticism and very serious about it,agnosticism,very serious
22209,rather not disclose,rather not disclose,no importance
22210,other and laughing about it,other,no importance
22211,rather not disclose,rather not disclose,no importance
22212,rather not disclose,rather not disclose,no importance
22213,agnosticism,agnosticism,no importance
22214,other and laughing about it,other,no importance
22215,other but not too serious about it,other,no importance
22216,rather not disclose,rather not disclose,no importance
22217,rather not disclose,rather not disclose,no importance
22218,judaism but not too serious about it,judaism,not too serious
22219,rather not disclose,rather not disclose,no importance
22220,agnosticism and very serious about it,agnosticism,very serious
22221,rather not disclose,rather not disclose,no importance
22222,christianity and laughing about it,christianity,laughing
22223,catholicism but not too serious about it,catholicism,not too serious
22224,rather not disclose,rather not disclose,no importance
22225,atheism,atheism,no importance
22226,rather not disclose,rather not disclose,no importance
22227,rather not disclose,rather not disclose,no importance
22228,atheism,atheism,no importance
22229,christianity but not too serious about it,christianity,not too serious
22230,rather not disclose,rather not disclose,no importance
22231,catholicism and laughing about it,catholicism,laughing
22232,christianity and somewhat serious about it,christianity,somewhat serious
22233,rather not disclose,rather not disclose,no importance
22234,christianity,christianity,no importance
22235,agnosticism,agnosticism,no importance
22236,atheism,atheism,no importance
22237,rather not disclose,rather not disclose,no importance
22238,other and laughing about it,other,no importance
22239,judaism and laughing about it,judaism,laughing
22240,rather not disclose,rather not disclose,no importance
22241,christianity but not too serious about it,christianity,not too serious
22242,other,other,no importance
22243,rather not disclose,rather not disclose,no importance
22244,christianity but not too serious about it,christianity,not too serious
22245,rather not disclose,rather not disclose,no importance
22246,rather not disclose,rather not disclose,no importance
22247,rather not disclose,rather not disclose,no importance
22248,other and laughing about it,other,no importance
22249,atheism and laughing about it,atheism,laughing
22250,christianity and very serious about it,christianity,very serious
22251,agnosticism and laughing about it,agnosticism,laughing
22252,other and laughing about it,other,no importance
22253,christianity and very serious about it,christianity,very serious
22254,agnosticism and somewhat serious about it,agnosticism,somewhat serious
22255,christianity and somewhat serious about it,christianity,somewhat serious
22256,other,other,no importance
22257,rather not disclose,rather not disclose,no importance
22258,rather not disclose,rather not disclose,no importance
22259,catholicism and somewhat serious about it,catholicism,somewhat serious
22260,atheism,atheism,no importance
22261,atheism but not too serious about it,atheism,not too serious
22262,agnosticism but not too serious about it,agnosticism,not too serious
22263,rather not disclose,rather not disclose,no importance
22264,other but not too serious about it,other,no importance
22265,agnosticism,agnosticism,no importance
22266,rather not disclose,rather not disclose,no importance
22267,agnosticism and laughing about it,agnosticism,laughing
22268,atheism but not too serious about it,atheism,not too serious
22269,rather not disclose,rather not disclose,no importance
22270,atheism,atheism,no importance
22271,buddhism and somewhat serious about it,buddhism,somewhat serious
22272,other but not too serious about it,other,no importance
22273,catholicism but not too serious about it,catholicism,not too serious
22274,rather not disclose,rather not disclose,no importance
22275,agnosticism but not too serious about it,agnosticism,not too serious
22276,judaism but not too serious about it,judaism,not too serious
22277,agnosticism but not too serious about it,agnosticism,not too serious
22278,agnosticism and laughing about it,agnosticism,laughing
22279,other,other,no importance
22280,atheism and laughing about it,atheism,laughing
22281,rather not disclose,rather not disclose,no importance
22282,agnosticism,agnosticism,no importance
22283,agnosticism but not too serious about it,agnosticism,not too serious
22284,other,other,no importance
22285,agnosticism but not too serious about it,agnosticism,not too serious
22286,other,other,no importance
22287,agnosticism,agnosticism,no importance
22288,catholicism and laughing about it,catholicism,laughing
22289,atheism and laughing about it,atheism,laughing
22290,rather not disclose,rather not disclose,no importance
22291,christianity,christianity,no importance
22292,christianity and somewhat serious about it,christianity,somewhat serious
22293,rather not disclose,rather not disclose,no importance
22294,christianity and somewhat serious about it,christianity,somewhat serious
22295,rather not disclose,rather not disclose,no importance
22296,rather not disclose,rather not disclose,no importance
22297,christianity and very serious about it,christianity,very serious
22298,rather not disclose,rather not disclose,no importance
22299,atheism,atheism,no importance
22300,agnosticism but not too serious about it,agnosticism,not too serious
22301,rather not disclose,rather not disclose,no importance
22302,rather not disclose,rather not disclose,no importance
22303,agnosticism but not too serious about it,agnosticism,not too serious
22304,agnosticism but not too serious about it,agnosticism,not too serious
22305,agnosticism but not too serious about it,agnosticism,not too serious
22306,atheism and laughing about it,atheism,laughing
22307,other,other,no importance
22308,catholicism,catholicism,no importance
22309,judaism,judaism,no importance
22310,agnosticism,agnosticism,no importance
22311,other and laughing about it,other,no importance
22312,rather not disclose,rather not disclose,no importance
22313,atheism and laughing about it,atheism,laughing
22314,other and laughing about it,other,no importance
22315,rather not disclose,rather not disclose,no importance
22316,other and somewhat serious about it,other,no importance
22317,atheism and somewhat serious about it,atheism,somewhat serious
22318,agnosticism but not too serious about it,agnosticism,not too serious
22319,christianity and very serious about it,christianity,very serious
22320,atheism and somewhat serious about it,atheism,somewhat serious
22321,catholicism,catholicism,no importance
22322,rather not disclose,rather not disclose,no importance
22323,other but not too serious about it,other,no importance
22324,agnosticism but not too serious about it,agnosticism,not too serious
22325,agnosticism and laughing about it,agnosticism,laughing
22326,atheism and very serious about it,atheism,very serious
22327,catholicism but not too serious about it,catholicism,not too serious
22328,other but not too serious about it,other,no importance
22329,buddhism but not too serious about it,buddhism,not too serious
22330,catholicism,catholicism,no importance
22331,other but not too serious about it,other,no importance
22332,rather not disclose,rather not disclose,no importance
22333,rather not disclose,rather not disclose,no importance
22334,agnosticism and laughing about it,agnosticism,laughing
22335,catholicism but not too serious about it,catholicism,not too serious
22336,atheism,atheism,no importance
22337,rather not disclose,rather not disclose,no importance
22338,other but not too serious about it,other,no importance
22339,catholicism and somewhat serious about it,catholicism,somewhat serious
22340,other and laughing about it,other,no importance
22341,atheism,atheism,no importance
22342,rather not disclose,rather not disclose,no importance
22343,christianity,christianity,no importance
22344,christianity,christianity,no importance
22345,other and laughing about it,other,no importance
22346,rather not disclose,rather not disclose,no importance
22347,christianity and somewhat serious about it,christianity,somewhat serious
22348,catholicism but not too serious about it,catholicism,not too serious
22349,rather not disclose,rather not disclose,no importance
22350,judaism but not too serious about it,judaism,not too serious
22351,rather not disclose,rather not disclose,no importance
22352,rather not disclose,rather not disclose,no importance
22353,christianity,christianity,no importance
22354,rather not disclose,rather not disclose,no importance
22355,agnosticism and somewhat serious about it,agnosticism,somewhat serious
22356,atheism,atheism,no importance
22357,catholicism but not too serious about it,catholicism,not too serious
22358,agnosticism but not too serious about it,agnosticism,not too serious
22359,rather not disclose,rather not disclose,no importance
22360,agnosticism,agnosticism,no importance
22361,judaism and laughing about it,judaism,laughing
22362,christianity and laughing about it,christianity,laughing
22363,agnosticism and laughing about it,agnosticism,laughing
22364,christianity but not too serious about it,christianity,not too serious
22365,rather not disclose,rather not disclose,no importance
22366,agnosticism but not too serious about it,agnosticism,not too serious
22367,rather not disclose,rather not disclose,no importance
22368,rather not disclose,rather not disclose,no importance
22369,judaism and laughing about it,judaism,laughing
22370,agnosticism,agnosticism,no importance
22371,agnosticism and laughing about it,agnosticism,laughing
22372,atheism,atheism,no importance
22373,atheism,atheism,no importance
22374,buddhism and somewhat serious about it,buddhism,somewhat serious
22375,other and very serious about it,other,no importance
22376,buddhism but not too serious about it,buddhism,not too serious
22377,buddhism and laughing about it,buddhism,laughing
22378,agnosticism and laughing about it,agnosticism,laughing
22379,rather not disclose,rather not disclose,no importance
22380,rather not disclose,rather not disclose,no importance
22381,rather not disclose,rather not disclose,no importance
22382,agnosticism and laughing about it,agnosticism,laughing
22383,catholicism but not too serious about it,catholicism,not too serious
22384,hinduism but not too serious about it,hinduism,not too serious
22385,rather not disclose,rather not disclose,no importance
22386,rather not disclose,rather not disclose,no importance
22387,christianity,christianity,no importance
22388,rather not disclose,rather not disclose,no importance
22389,atheism,atheism,no importance
22390,christianity and somewhat serious about it,christianity,somewhat serious
22391,rather not disclose,rather not disclose,no importance
22392,rather not disclose,rather not disclose,no importance
22393,agnosticism and somewhat serious about it,agnosticism,somewhat serious
22394,rather not disclose,rather not disclose,no importance
22395,catholicism but not too serious about it,catholicism,not too serious
22396,atheism and laughing about it,atheism,laughing
22397,catholicism but not too serious about it,catholicism,not too serious
22398,christianity and somewhat serious about it,christianity,somewhat serious
22399,rather not disclose,rather not disclose,no importance
22400,christianity but not too serious about it,christianity,not too serious
22401,agnosticism but not too serious about it,agnosticism,not too serious
22402,catholicism and somewhat serious about it,catholicism,somewhat serious
22403,other and laughing about it,other,no importance
22404,rather not disclose,rather not disclose,no importance
22405,hinduism but not too serious about it,hinduism,not too serious
22406,rather not disclose,rather not disclose,no importance
22407,agnosticism,agnosticism,no importance
22408,rather not disclose,rather not disclose,no importance
22409,other and laughing about it,other,no importance
22410,catholicism and laughing about it,catholicism,laughing
22411,catholicism but not too serious about it,catholicism,not too serious
22412,agnosticism,agnosticism,no importance
22413,rather not disclose,rather not disclose,no importance
22414,rather not disclose,rather not disclose,no importance
22415,rather not disclose,rather not disclose,no importance
22416,rather not disclose,rather not disclose,no importance
22417,rather not disclose,rather not disclose,no importance
22418,rather not disclose,rather not disclose,no importance
22419,atheism but not too serious about it,atheism,not too serious
22420,rather not disclose,rather not disclose,no importance
22421,atheism but not too serious about it,atheism,not too serious
22422,islam,islam,no importance
22423,other and somewhat serious about it,other,no importance
22424,islam and laughing about it,islam,laughing
22425,other and laughing about it,other,no importance
22426,atheism,atheism,no importance
22427,catholicism and laughing about it,catholicism,laughing
22428,rather not disclose,rather not disclose,no importance
22429,other but not too serious about it,other,no importance
22430,other and laughing about it,other,no importance
22431,agnosticism,agnosticism,no importance
22432,rather not disclose,rather not disclose,no importance
22433,rather not disclose,rather not disclose,no importance
22434,rather not disclose,rather not disclose,no importance
22435,catholicism and laughing about it,catholicism,laughing
22436,christianity,christianity,no importance
22437,rather not disclose,rather not disclose,no importance
22438,catholicism but not too serious about it,catholicism,not too serious
22439,other and very serious about it,other,no importance
22440,judaism and somewhat serious about it,judaism,somewhat serious
22441,buddhism and somewhat serious about it,buddhism,somewhat serious
22442,atheism and laughing about it,atheism,laughing
22443,other and very serious about it,other,no importance
22444,rather not disclose,rather not disclose,no importance
22445,rather not disclose,rather not disclose,no importance
22446,rather not disclose,rather not disclose,no importance
22447,judaism but not too serious about it,judaism,not too serious
22448,agnosticism and laughing about it,agnosticism,laughing
22449,rather not disclose,rather not disclose,no importance
22450,rather not disclose,rather not disclose,no importance
22451,other and laughing about it,other,no importance
22452,rather not disclose,rather not disclose,no importance
22453,other and laughing about it,other,no importance
22454,rather not disclose,rather not disclose,no importance
22455,other and somewhat serious about it,other,no importance
22456,christianity,christianity,no importance
22457,catholicism,catholicism,no importance
22458,other,other,no importance
22459,rather not disclose,rather not disclose,no importance
22460,catholicism and laughing about it,catholicism,laughing
22461,agnosticism but not too serious about it,agnosticism,not too serious
22462,christianity and somewhat serious about it,christianity,somewhat serious
22463,christianity but not too serious about it,christianity,not too serious
22464,other but not too serious about it,other,no importance
22465,other and laughing about it,other,no importance
22466,christianity,christianity,no importance
22467,christianity and laughing about it,christianity,laughing
22468,rather not disclose,rather not disclose,no importance
22469,rather not disclose,rather not disclose,no importance
22470,other and laughing about it,other,no importance
22471,christianity and very serious about it,christianity,very serious
22472,rather not disclose,rather not disclose,no importance
22473,atheism and very serious about it,atheism,very serious
22474,atheism and somewhat serious about it,atheism,somewhat serious
22475,catholicism and laughing about it,catholicism,laughing
22476,rather not disclose,rather not disclose,no importance
22477,atheism and laughing about it,atheism,laughing
22478,rather not disclose,rather not disclose,no importance
22479,catholicism and somewhat serious about it,catholicism,somewhat serious
22480,buddhism and laughing about it,buddhism,laughing
22481,christianity,christianity,no importance
22482,rather not disclose,rather not disclose,no importance
22483,rather not disclose,rather not disclose,no importance
22484,catholicism and laughing about it,catholicism,laughing
22485,rather not disclose,rather not disclose,no importance
22486,judaism but not too serious about it,judaism,not too serious
22487,atheism and laughing about it,atheism,laughing
22488,judaism but not too serious about it,judaism,not too serious
22489,agnosticism but not too serious about it,agnosticism,not too serious
22490,rather not disclose,rather not disclose,no importance
22491,other and somewhat serious about it,other,no importance
22492,rather not disclose,rather not disclose,no importance
22493,other and very serious about it,other,no importance
22494,other,other,no importance
22495,christianity but not too serious about it,christianity,not too serious
22496,atheism,atheism,no importance
22497,atheism and laughing about it,atheism,laughing
22498,rather not disclose,rather not disclose,no importance
22499,christianity but not too serious about it,christianity,not too serious
22500,other but not too serious about it,other,no importance
22501,rather not disclose,rather not disclose,no importance
22502,christianity and somewhat serious about it,christianity,somewhat serious
22503,buddhism and somewhat serious about it,buddhism,somewhat serious
22504,catholicism but not too serious about it,catholicism,not too serious
22505,agnosticism and laughing about it,agnosticism,laughing
22506,rather not disclose,rather not disclose,no importance
22507,agnosticism and laughing about it,agnosticism,laughing
22508,rather not disclose,rather not disclose,no importance
22509,christianity but not too serious about it,christianity,not too serious
22510,judaism and laughing about it,judaism,laughing
22511,atheism,atheism,no importance
22512,atheism and laughing about it,atheism,laughing
22513,agnosticism but not too serious about it,agnosticism,not too serious
22514,buddhism and laughing about it,buddhism,laughing
22515,rather not disclose,rather not disclose,no importance
22516,rather not disclose,rather not disclose,no importance
22517,rather not disclose,rather not disclose,no importance
22518,buddhism,buddhism,no importance
22519,agnosticism and very serious about it,agnosticism,very serious
22520,rather not disclose,rather not disclose,no importance
22521,atheism and somewhat serious about it,atheism,somewhat serious
22522,agnosticism and laughing about it,agnosticism,laughing
22523,atheism and very serious about it,atheism,very serious
22524,other and very serious about it,other,no importance
22525,atheism but not too serious about it,atheism,not too serious
22526,other,other,no importance
22527,rather not disclose,rather not disclose,no importance
22528,christianity,christianity,no importance
22529,rather not disclose,rather not disclose,no importance
22530,atheism but not too serious about it,atheism,not too serious
22531,atheism and laughing about it,atheism,laughing
22532,christianity,christianity,no importance
22533,christianity and very serious about it,christianity,very serious
22534,atheism and somewhat serious about it,atheism,somewhat serious
22535,other,other,no importance
22536,catholicism and somewhat serious about it,catholicism,somewhat serious
22537,rather not disclose,rather not disclose,no importance
22538,judaism but not too serious about it,judaism,not too serious
22539,christianity and somewhat serious about it,christianity,somewhat serious
22540,atheism and laughing about it,atheism,laughing
22541,judaism,judaism,no importance
22542,agnosticism,agnosticism,no importance
22543,other and laughing about it,other,no importance
22544,atheism,atheism,no importance
22545,christianity and laughing about it,christianity,laughing
22546,rather not disclose,rather not disclose,no importance
22547,christianity and somewhat serious about it,christianity,somewhat serious
22548,christianity,christianity,no importance
22549,rather not disclose,rather not disclose,no importance
22550,rather not disclose,rather not disclose,no importance
22551,rather not disclose,rather not disclose,no importance
22552,agnosticism and laughing about it,agnosticism,laughing
22553,christianity but not too serious about it,christianity,not too serious
22554,christianity but not too serious about it,christianity,not too serious
22555,rather not disclose,rather not disclose,no importance
22556,atheism and laughing about it,atheism,laughing
22557,atheism and laughing about it,atheism,laughing
22558,agnosticism and laughing about it,agnosticism,laughing
22559,catholicism,catholicism,no importance
22560,rather not disclose,rather not disclose,no importance
22561,rather not disclose,rather not disclose,no importance
22562,rather not disclose,rather not disclose,no importance
22563,rather not disclose,rather not disclose,no importance
22564,rather not disclose,rather not disclose,no importance
22565,judaism but not too serious about it,judaism,not too serious
22566,atheism,atheism,no importance
22567,catholicism and laughing about it,catholicism,laughing
22568,rather not disclose,rather not disclose,no importance
22569,christianity and somewhat serious about it,christianity,somewhat serious
22570,agnosticism,agnosticism,no importance
22571,other and laughing about it,other,no importance
22572,atheism and somewhat serious about it,atheism,somewhat serious
22573,rather not disclose,rather not disclose,no importance
22574,atheism and laughing about it,atheism,laughing
22575,other and very serious about it,other,no importance
22576,atheism,atheism,no importance
22577,rather not disclose,rather not disclose,no importance
22578,other,other,no importance
22579,buddhism but not too serious about it,buddhism,not too serious
22580,other but not too serious about it,other,no importance
22581,rather not disclose,rather not disclose,no importance
22582,judaism but not too serious about it,judaism,not too serious
22583,christianity,christianity,no importance
22584,agnosticism,agnosticism,no importance
22585,atheism but not too serious about it,atheism,not too serious
22586,rather not disclose,rather not disclose,no importance
22587,atheism but not too serious about it,atheism,not too serious
22588,atheism,atheism,no importance
22589,judaism,judaism,no importance
22590,rather not disclose,rather not disclose,no importance
22591,rather not disclose,rather not disclose,no importance
22592,atheism,atheism,no importance
22593,rather not disclose,rather not disclose,no importance
22594,other,other,no importance
22595,rather not disclose,rather not disclose,no importance
22596,atheism and laughing about it,atheism,laughing
22597,buddhism but not too serious about it,buddhism,not too serious
22598,christianity,christianity,no importance
22599,rather not disclose,rather not disclose,no importance
22600,christianity but not too serious about it,christianity,not too serious
22601,catholicism and laughing about it,catholicism,laughing
22602,atheism and somewhat serious about it,atheism,somewhat serious
22603,agnosticism but not too serious about it,agnosticism,not too serious
22604,judaism but not too serious about it,judaism,not too serious
22605,christianity,christianity,no importance
22606,rather not disclose,rather not disclose,no importance
22607,other,other,no importance
22608,catholicism but not too serious about it,catholicism,not too serious
22609,buddhism and somewhat serious about it,buddhism,somewhat serious
22610,agnosticism,agnosticism,no importance
22611,atheism but not too serious about it,atheism,not too serious
22612,rather not disclose,rather not disclose,no importance
22613,rather not disclose,rather not disclose,no importance
22614,agnosticism but not too serious about it,agnosticism,not too serious
22615,rather not disclose,rather not disclose,no importance
22616,agnosticism,agnosticism,no importance
22617,atheism,atheism,no importance
22618,agnosticism and very serious about it,agnosticism,very serious
22619,christianity,christianity,no importance
22620,christianity but not too serious about it,christianity,not too serious
22621,agnosticism but not too serious about it,agnosticism,not too serious
22622,other,other,no importance
22623,rather not disclose,rather not disclose,no importance
22624,agnosticism,agnosticism,no importance
22625,agnosticism,agnosticism,no importance
22626,rather not disclose,rather not disclose,no importance
22627,agnosticism and somewhat serious about it,agnosticism,somewhat serious
22628,agnosticism and very serious about it,agnosticism,very serious
22629,rather not disclose,rather not disclose,no importance
22630,other and laughing about it,other,no importance
22631,rather not disclose,rather not disclose,no importance
22632,rather not disclose,rather not disclose,no importance
22633,other but not too serious about it,other,no importance
22634,other but not too serious about it,other,no importance
22635,rather not disclose,rather not disclose,no importance
22636,buddhism but not too serious about it,buddhism,not too serious
22637,rather not disclose,rather not disclose,no importance
22638,christianity,christianity,no importance
22639,agnosticism but not too serious about it,agnosticism,not too serious
22640,atheism and laughing about it,atheism,laughing
22641,atheism but not too serious about it,atheism,not too serious
22642,agnosticism and somewhat serious about it,agnosticism,somewhat serious
22643,christianity,christianity,no importance
22644,rather not disclose,rather not disclose,no importance
22645,rather not disclose,rather not disclose,no importance
22646,atheism but not too serious about it,atheism,not too serious
22647,christianity and somewhat serious about it,christianity,somewhat serious
22648,christianity but not too serious about it,christianity,not too serious
22649,rather not disclose,rather not disclose,no importance
22650,judaism,judaism,no importance
22651,rather not disclose,rather not disclose,no importance
22652,agnosticism and laughing about it,agnosticism,laughing
22653,atheism but not too serious about it,atheism,not too serious
22654,agnosticism and laughing about it,agnosticism,laughing
22655,agnosticism and laughing about it,agnosticism,laughing
22656,agnosticism and laughing about it,agnosticism,laughing
22657,atheism but not too serious about it,atheism,not too serious
22658,other,other,no importance
22659,judaism,judaism,no importance
22660,rather not disclose,rather not disclose,no importance
22661,rather not disclose,rather not disclose,no importance
22662,rather not disclose,rather not disclose,no importance
22663,rather not disclose,rather not disclose,no importance
22664,atheism but not too serious about it,atheism,not too serious
22665,other but not too serious about it,other,no importance
22666,rather not disclose,rather not disclose,no importance
22667,catholicism,catholicism,no importance
22668,rather not disclose,rather not disclose,no importance
22669,agnosticism,agnosticism,no importance
22670,atheism and somewhat serious about it,atheism,somewhat serious
22671,other and laughing about it,other,no importance
22672,atheism,atheism,no importance
22673,judaism but not too serious about it,judaism,not too serious
22674,atheism and laughing about it,atheism,laughing
22675,rather not disclose,rather not disclose,no importance
22676,agnosticism and laughing about it,agnosticism,laughing
22677,atheism,atheism,no importance
22678,agnosticism and somewhat serious about it,agnosticism,somewhat serious
22679,other and laughing about it,other,no importance
22680,rather not disclose,rather not disclose,no importance
22681,agnosticism and laughing about it,agnosticism,laughing
22682,atheism and laughing about it,atheism,laughing
22683,buddhism and laughing about it,buddhism,laughing
22684,judaism,judaism,no importance
22685,christianity,christianity,no importance
22686,agnosticism,agnosticism,no importance
22687,agnosticism and laughing about it,agnosticism,laughing
22688,rather not disclose,rather not disclose,no importance
22689,rather not disclose,rather not disclose,no importance
22690,rather not disclose,rather not disclose,no importance
22691,atheism,atheism,no importance
22692,christianity and very serious about it,christianity,very serious
22693,rather not disclose,rather not disclose,no importance
22694,rather not disclose,rather not disclose,no importance
22695,other and very serious about it,other,no importance
22696,judaism but not too serious about it,judaism,not too serious
22697,atheism,atheism,no importance
22698,atheism and laughing about it,atheism,laughing
22699,atheism and laughing about it,atheism,laughing
22700,christianity but not too serious about it,christianity,not too serious
22701,atheism but not too serious about it,atheism,not too serious
22702,rather not disclose,rather not disclose,no importance
22703,rather not disclose,rather not disclose,no importance
22704,rather not disclose,rather not disclose,no importance
22705,judaism but not too serious about it,judaism,not too serious
22706,rather not disclose,rather not disclose,no importance
22707,other,other,no importance
22708,rather not disclose,rather not disclose,no importance
22709,other,other,no importance
22710,rather not disclose,rather not disclose,no importance
22711,atheism and very serious about it,atheism,very serious
22712,rather not disclose,rather not disclose,no importance
22713,rather not disclose,rather not disclose,no importance
22714,atheism and laughing about it,atheism,laughing
22715,rather not disclose,rather not disclose,no importance
22716,catholicism and laughing about it,catholicism,laughing
22717,agnosticism,agnosticism,no importance
22718,agnosticism but not too serious about it,agnosticism,not too serious
22719,rather not disclose,rather not disclose,no importance
22720,other,other,no importance
22721,agnosticism and laughing about it,agnosticism,laughing
22722,rather not disclose,rather not disclose,no importance
22723,catholicism and somewhat serious about it,catholicism,somewhat serious
22724,buddhism but not too serious about it,buddhism,not too serious
22725,catholicism and somewhat serious about it,catholicism,somewhat serious
22726,buddhism,buddhism,no importance
22727,christianity,christianity,no importance
22728,rather not disclose,rather not disclose,no importance
22729,rather not disclose,rather not disclose,no importance
22730,atheism,atheism,no importance
22731,judaism,judaism,no importance
22732,agnosticism but not too serious about it,agnosticism,not too serious
22733,rather not disclose,rather not disclose,no importance
22734,other and laughing about it,other,no importance
22735,catholicism but not too serious about it,catholicism,not too serious
22736,judaism and laughing about it,judaism,laughing
22737,christianity and laughing about it,christianity,laughing
22738,atheism,atheism,no importance
22739,judaism but not too serious about it,judaism,not too serious
22740,rather not disclose,rather not disclose,no importance
22741,atheism,atheism,no importance
22742,catholicism but not too serious about it,catholicism,not too serious
22743,catholicism but not too serious about it,catholicism,not too serious
22744,rather not disclose,rather not disclose,no importance
22745,other,other,no importance
22746,rather not disclose,rather not disclose,no importance
22747,agnosticism and laughing about it,agnosticism,laughing
22748,rather not disclose,rather not disclose,no importance
22749,other and laughing about it,other,no importance
22750,agnosticism and laughing about it,agnosticism,laughing
22751,judaism but not too serious about it,judaism,not too serious
22752,agnosticism,agnosticism,no importance
22753,rather not disclose,rather not disclose,no importance
22754,other and laughing about it,other,no importance
22755,rather not disclose,rather not disclose,no importance
22756,rather not disclose,rather not disclose,no importance
22757,atheism,atheism,no importance
22758,rather not disclose,rather not disclose,no importance
22759,buddhism and somewhat serious about it,buddhism,somewhat serious
22760,agnosticism and laughing about it,agnosticism,laughing
22761,rather not disclose,rather not disclose,no importance
22762,atheism,atheism,no importance
22763,christianity and somewhat serious about it,christianity,somewhat serious
22764,rather not disclose,rather not disclose,no importance
22765,other but not too serious about it,other,no importance
22766,rather not disclose,rather not disclose,no importance
22767,other,other,no importance
22768,agnosticism,agnosticism,no importance
22769,rather not disclose,rather not disclose,no importance
22770,other and laughing about it,other,no importance
22771,rather not disclose,rather not disclose,no importance
22772,judaism but not too serious about it,judaism,not too serious
22773,agnosticism and laughing about it,agnosticism,laughing
22774,other and laughing about it,other,no importance
22775,rather not disclose,rather not disclose,no importance
22776,rather not disclose,rather not disclose,no importance
22777,rather not disclose,rather not disclose,no importance
22778,rather not disclose,rather not disclose,no importance
22779,agnosticism and very serious about it,agnosticism,very serious
22780,atheism,atheism,no importance
22781,agnosticism and somewhat serious about it,agnosticism,somewhat serious
22782,christianity but not too serious about it,christianity,not too serious
22783,atheism and very serious about it,atheism,very serious
22784,rather not disclose,rather not disclose,no importance
22785,rather not disclose,rather not disclose,no importance
22786,catholicism but not too serious about it,catholicism,not too serious
22787,rather not disclose,rather not disclose,no importance
22788,other,other,no importance
22789,christianity and somewhat serious about it,christianity,somewhat serious
22790,other and laughing about it,other,no importance
22791,other but not too serious about it,other,no importance
22792,agnosticism,agnosticism,no importance
22793,atheism but not too serious about it,atheism,not too serious
22794,rather not disclose,rather not disclose,no importance
22795,other,other,no importance
22796,catholicism and laughing about it,catholicism,laughing
22797,judaism,judaism,no importance
22798,christianity,christianity,no importance
22799,catholicism and laughing about it,catholicism,laughing
22800,atheism,atheism,no importance
22801,atheism and laughing about it,atheism,laughing
22802,christianity and somewhat serious about it,christianity,somewhat serious
22803,agnosticism and laughing about it,agnosticism,laughing
22804,other and laughing about it,other,no importance
22805,rather not disclose,rather not disclose,no importance
22806,rather not disclose,rather not disclose,no importance
22807,christianity but not too serious about it,christianity,not too serious
22808,other and somewhat serious about it,other,no importance
22809,rather not disclose,rather not disclose,no importance
22810,rather not disclose,rather not disclose,no importance
22811,rather not disclose,rather not disclose,no importance
22812,rather not disclose,rather not disclose,no importance
22813,rather not disclose,rather not disclose,no importance
22814,atheism but not too serious about it,atheism,not too serious
22815,agnosticism and laughing about it,agnosticism,laughing
22816,judaism but not too serious about it,judaism,not too serious
22817,agnosticism but not too serious about it,agnosticism,not too serious
22818,rather not disclose,rather not disclose,no importance
22819,atheism,atheism,no importance
22820,atheism and laughing about it,atheism,laughing
22821,agnosticism but not too serious about it,agnosticism,not too serious
22822,atheism,atheism,no importance
22823,rather not disclose,rather not disclose,no importance
22824,rather not disclose,rather not disclose,no importance
22825,rather not disclose,rather not disclose,no importance
22826,other and somewhat serious about it,other,no importance
22827,rather not disclose,rather not disclose,no importance
22828,rather not disclose,rather not disclose,no importance
22829,christianity and somewhat serious about it,christianity,somewhat serious
